BESTDATE,BESTSTAT,NAMEADDR,Alias,LANDUSE,CASENO,PLNDESC,BPAPPLNO,DBIDESC,FirstFiled,COST,PROPUSE,APN,EntitlementStatus,NEIGHBORHOOD,PLANAREA,PLANDISTRICT,SUPDIST,ZONING,ZONEDISTRICTNAME,HEIGHTLIMIT,UNITS,UNITSNET,AFFORDABLE,AFFORDABLE_NET,RETAILCOMM_EXISTING,RETAILCOMM_PROPOSED,RETAILCOMM_NET,OFFICE_EXISTING,OFFICE_PROPOSED,OFFICE_NET,INDUSTRIAL_EXISTING,INDUSTRIAL_PROPOSED,INDUSTRIAL_NET,MEDICAL_EXISTING,MEDICAL_PROPOSED,MEDICAL_NET,VISITOR_EXISTING,VISITOR_PROPOSED,VISITOR_NET,CIE_EXISTING,CIE_PROPOSED,CIE_NET,SPONSOR,CONTACT,CONTACTPH,PLANNER,LOCATION
10/28/2014,BP FILED,268 GRAND VIEW AV,,Resident,,,201410280037,CONSTRUCT NEW 2-STORY SINGLE FAMILY RESIDENCE WITH GARAGE,10/28/2014,$600000.00,1 FAMILY DWELLING,APN 2764010,0,Noe Valley,,Central,SUPERVISORIAL DISTRICT 8,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7539421732, -122.441546)"
01/08/2014,CONSTRUCTION,268 MADISON ST,,Resident,2008.1382,"The proposal is to demolish a single-family residence, constructed in 1906, split the lot into two lots @3,000 square feet each, and construct a single-family dwelling on each newly created lot.   This DR is for the new construction of the southern build",200711077587,CONSTRUCT 3 STORY SINGLE FAMILY DWELLING,11/07/2007,$1304000.00,1 FAMILY DWELLING,APN 5943008,-1,Excelsior,,South Central,SUPERVISORIAL DISTRICT 9,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,1,1,0,0,5000,30000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MSMITH,"(37.7257224458, -122.422804)"
01/08/2016,BP ISSUED,2689 23RD AV,,Resident,,,201506179226,LEGALIZE AS-BUILT KITCHEN ON 1ST FLOOR PER PLAN. REF #201501297032. ORDINANCE #43-14.,06/17/2015,$10000.00,2 FAMILY DWELLING,APN 2473018,-1,Parkside,,Outer Sunset,SUPERVISORIAL DISTRICT 4,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7374908436, -122.479883)"
11/29/2010,PL APPROVED,2695 SACRAMENTO ST,,Resident,2010.0516,Parking Variance to convert a LCU into a residential unit,,,06/30/2010,$40000.00,,APN 0634016A,-1,Pacific Heights,,Marina,SUPERVISORIAL DISTRICT 2,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,2,1,0,0,1000,0,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jill Tardy,Jill Tardy,415-381-1183,ASTARR,"(37.7892450311, -122.437106)"
02/23/2016,CONSTRUCTION,270 BRANNAN ST,,MIPS,2012.0799,"Demolition of existing building on lot and construction of a new six-story commercial office building containing approximately 189,000 square feet of office uses and an approximately 13,000 square foot sub-grade parking garage containing 16 off-street pa",201312174402,"TO ERECT 7 STORIES, 1 BASEMENT, OFFICE, PARKING, ASSEMBLY BUILDING.",08/28/2012,$0.00,,APN 3774026,-1,South of Market,East SoMa (EN); South of Market,South of Market,SUPERVISORIAL DISTRICT 6,MUO,MIXED USE-OFFICE,65-X,0,0,0,0,0,0,0,17350,171650,154300,0,0,0,0,0,0,0,0,0,0,0,0,c/o John Ramsbacher,c/o Dan Kingsley,421-8200x212,,"(37.7829602894, -122.391555)"
12/31/2015,BP FILED,270 TRUMBULL ST,,Resident,,,201512316262,TO COMPLY WITH COMPLAINT NO.201567255; LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT A PERMIT PER,12/31/2015,$12000.00,2 FAMILY DWELLING,APN 5871036,0,Excelsior,,South Central,SUPERVISORIAL DISTRICT 11,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7307249211, -122.424530)"
03/20/2015,BP FILED,271 UPPER TER,,Resident,2015-004297PRJ,"(BACK BLDG) ERECT 4-STORY, 1 BASEMENT, TYPE 5A, SINGLE FAMILY DWELLING UNIT BLDG.  (FRONT BLDG) ERECT 4-STORY, 1 BASEMENT, TYPE 5A, SINGLE FAMILY DWELLING UNIT BLDG.",201503201418,"(BACK BLDG) ERECT 4-STORY, 1 BASEMENT, TYPE 5A, SINGLE FAMILY DWELLING UNIT BLDG.",03/20/2015,$2000000.00,1 FAMILY DWELLING,APN 2628032,0,Castro/Upper Market,,Buena Vista,SUPERVISORIAL DISTRICT 8,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MARQUIS CHARLES & BEVERLY REV TR,,EJACKSON,"(37.7622313457, -122.445432)"
10/26/2015,CONSTRUCTION,272 CLARA ST,,Mixres,2013.0669,Add two stories to existing 2 story mixuse building; change of use from R-3 to R-2,201304164662,,05/28/2013,$0.00,,APN 3753076,-1,South of Market,Central SoMa; East SoMa (EN); South of Market,South of Market,SUPERVISORIAL DISTRICT 6,MUR,MIXED USE-RESIDENTIAL,45-X,3,2,0,0,0,0,0,1480,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,Michael Jones,Michael Jones,805-878-7944,CJUNG,"(37.7783122643, -122.404112)"
10/22/2015,BP ISSUED,2930 ANZA ST,,Resident,,,201504244517,HORIZONTAL EXTENSION ONLY OF ENLARGING AN (E) 2 STORIES. 1 UNIT RES'D BLDG TO A 2 UNITS RES'D BLDG.,04/24/2015,$150000.00,2 FAMILY DWELLING,APN 1524018A,-1,Outer Richmond,,Richmond,SUPERVISORIAL DISTRICT 1,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7786275328, -122.479884)"
10/14/2014,PL FILED,272 SUTTER ST,,Mixres,2014.1569,"Reisidential & Retail. To construct a new, 10-story mixed-use, building containing approximately 45 dwelling units, a below grade parking garage with capacity to park up to 40 cars, and ground-floor and second floor retail space. Dwelling-unit exposure &",,,10/14/2014,$8500.00,,APN 0287013,0,Financial District,Downtown,Downtown,SUPERVISORIAL DISTRICT 3,C-3-R,DOWNTOWN- RETAIL,80-130-F,45,45,0,0,35600,16000,-19600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steven Atkinson,,,MLAVALLE,"(37.7899567523, -122.405082)"
03/10/2016,BP Filed,2722 FOLSOM ST,,Resident,2016-002914PRJ,Dwelling unit merger to change unit count from three (3) to two (2).,201603101720,DWELLING UNIT REMOVAL - MERGER OF TWO OF THE THREE UNITS TO CREATE A 2 UNIT BUILDING. REMOVE ONE OF THE EXISTING LEGAL KITCHEN ON GROUND FLOOR,03/03/2016,$5000.00,2 FAMILY DWELLING,APN 3641002,0,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TomCan Construction,,4158244869,KDURANDE,"(37.7536442952, -122.414541)"
08/14/2009,BP FILED,2727 GOUGH ST,,Resident,,,200908144854,Add new dwelling unit/ new kitchen unit in (E) basement floor. All remodeling in basement floor appr,08/14/2009,$11000.00,2 FAMILY DWELLING,APN 0529002,0,Marina,,Marina,SUPERVISORIAL DISTRICT 2,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7985223479, -122.427678)"
08/31/2015,BP FILED,2739 MCALLISTER ST,,Resident,2015-012083PRJ,,201508315729,CONVERT (E) 2 UNITS RESIDENTIAL BLDG INTO A 3 UNITS RESIDENTIAL WITH HORIZ. ADDITION AT THE REAR.  (,08/31/2015,$150000.00,APARTMENTS,APN 1168043,-1,Inner Richmond,,Richmond,SUPERVISORIAL DISTRICT 1,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7751069596, -122.457195)"
10/27/2015,BP FILED,274 SILVER AV,,Resident,,,201510270841,"TO LEGALIZE IN-LAW DWELLING UNIT UNDER ORDINANCE NO# 43-14. LEGALIZE KITCHEN WITH COUNTER, CABINET,",10/27/2015,$12000.00,2 FAMILY DWELLING,APN 6800041,0,Outer Mission,,South Central,SUPERVISORIAL DISTRICT 11,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7289006114, -122.432038)"
11/12/2015,BP FILED,2740 MCALLISTER ST,,Resident,,,201511122441,RENOVATE (E) 1 UNIT RESIDENTIAL BLDG ADD UNITS FOR TOTAL OF 3 UNITS. 9 BEDROOMS & 6 BATHROOMS FOR AL,11/12/2015,$250000.00,APARTMENTS,APN 1167010,0,Inner Richmond,,Richmond,SUPERVISORIAL DISTRICT 1,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7756779770, -122.457193)"
11/17/2014,PL FILED,2750 19TH ST,,Resident,2014.0999,Partial or total demolition of existing structure.  The project will provide 60 residential units with a landscaped courtyard at 2nd floor above ground floor retail and basement parking.,,,11/17/2014,$25000000.00,,APN 4023004A,0,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 10,UMU,URBAN MIXED USE,68-X,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7607995554, -122.409716)"
04/23/2015,BP FILED,2755 MCALLISTER ST,,Resident,,,201504234455,ERECT 4 STORIES OF 3 DWELLING UNITS.,04/23/2015,$1200000.00,APARTMENTS,APN 1168040,0,Inner Richmond,,Richmond,SUPERVISORIAL DISTRICT 1,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7750752556, -122.457451)"
01/20/2016,BP Filed,276 RIPLEY ST,,Resident,2016-001065PRJ,,201601207494,"REAR BLDG. ERECT 3-STORY, TYPE-5, NO BASEMENT, SINGLE FAMILY DWELLING BUILDING.",01/20/2016,$500000.00,1 FAMILY DWELLING,APN 5550040,0,Bernal Heights,,Bernal Heights,SUPERVISORIAL DISTRICT 9,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7440696229, -122.409135)"
05/20/2014,BP FILED,2782 FOLSOM ST,,Resident,,,201405206278,REAR HORIZONTAL & VERTICAL ADDITION. ADD 3749 SQ. FT. TO (E) BUILDING. INCREASE UNIT FROM 6 UNITS TO,05/20/2014,$1200000.00,APARTMENTS,APN 3641010C,0,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,NCT-24TH-MISSION,24TH-MISSION NEIGHBORHOOD COMMERCIAL TRANSIT,40-X,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7527220661, -122.414454)"
04/23/2015,BP FILED,2785 SAN BRUNO AV,,Resident,,,201504234413,"CONSTRUCT (N) 4-STORY, MIXED-USED, COMMERCIAL & RESIDENTAL BUILDING.",04/23/2015,$750000.00,2 FAMILY DWELLING,APN 5450018,0,Excelsior,,South Central,SUPERVISORIAL DISTRICT 9,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",40-X,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7266740414, -122.402923)"
10/07/2015,CONSTRUCTION,279 MONTEREY BL,,Resident,2008.0374,Demoiltion of existing single-family residence.,200906261414,"TO ERECT 4 STORY, 2 DWELLING UNITS",03/25/2008,$850000.00,2 FAMILY DWELLING,APN 6771032,-1,Outer Mission,,Ingleside,SUPERVISORIAL DISTRICT 7,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7312815616, -122.441528)"
06/18/2015,PL FILED,2799 24TH ST,,Mixres,2014.1258,Existing laundrymat building will be demolished.  New 8-unit 5-story mixed use residential building will be constructed.  First floor level (street level) will contain 2 commercial spaces and the residential lobby with a bicycle storage.  Four stories ab,,,08/15/2014,$0.00,,APN 4266035,0,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,NCT-24TH-MISSION,24TH-MISSION NEIGHBORHOOD COMMERCIAL TRANSIT,55-X,8,8,0,0,2325,2056,-269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7526480654, -122.408022)"
09/11/2012,PL FILED,280 07TH ST,,Mixres,2012.0356,"Demolish existing one and two story buildings to construct a new three-story building. On the 7th St (east) side: bar/nightclub on the first and mezzanine levels, restaurant on the second level, and arts activity on the third level. On the Langton St (we",,,09/11/2012,$0.00,,APN 3730009,0,South of Market,Western SoMa (EN); South of Market,South of Market,SUPERVISORIAL DISTRICT 6,WMUG,WSOMA MIXED USE-GENERAL,65-X,2,2,0,0,0,1303,1303,538,355,-183,0,0,0,0,0,0,0,0,0,0,0,0,Suchitra Hutachinda,Alan K. Toma,415 664-6606,CESPIRIT,"(37.7768173851, -122.408527)"
03/11/2009,BP FILED,280 BAY SHORE BL,,PDR,,,200903113911,ERECT A 1 STORY BIOFUEL PRODUCTION & SALES BUILDING.,03/11/2009,$1500000.00,FILLING/SERVICE STN,APN 5576001,0,Bayview,Bayview Hunters Point; Bayshore Boulevard,Bernal Heights,SUPERVISORIAL DISTRICT 9,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",40-X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7434952951, -122.405317)"
03/29/2016,CONSTRUCTION,2800 SLOAT BLVD,,Resident,2005.1066,"Demolition of existing buildings and construction of three new five-story buildings with a total of 55 dwelling units, 48 parking spaces in an underground parking garage, 26,000 gsf of ground floor retail, and 34 covered spaces for the commercial use.",201402047761,"TO ERECT 5 STORIES, 1 BASEMENT, 56 UNITS RESIDENTIAL OVER COMMERCIAL, MIXED USED BUILDING.",07/19/2007,$15000000.00,,APN 2515001,-1,Parkside,Western Shoreline,Outer Sunset,SUPERVISORIAL DISTRICT 4,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",100-A,56,56,1,1,0,22779,22779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kieran O'Carroll,Rachel Hamilton,510-547-6914,KCONNER,"(37.7358537748, -122.504737)"
11/18/2014,BP FILED,2806 VAN NESS AV,,Resident,,,201411181835,"REAR ADDITION CONST 4 STORY STRUCTURE, 1ST FL, OFFICE. 2ND FL, 1 BEDRM, 1 BATHRM, LIVING ROOM & KITC",11/18/2014,$200000.00,APARTMENTS,APN 0499004,0,Russian Hill,Van Ness Corridor,Northeast,SUPERVISORIAL DISTRICT 2,RC-3,"RESIDENTIAL- COMMERCIAL, MEDIUM DENSITY",65-A,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.8016255697, -122.424188)"
02/21/2014,BP FILED,281 FREDERICK ST,,Resident,,,201402219049,TO COMPLY WITH NOV# 201451101. CONVERSION OF PART OF BASEMENT INTO A SEPARATE UNIT & KITCHEN ADDITIO,02/21/2014,$10000.00,2 FAMILY DWELLING,APN 1269087,0,Haight Ashbury,,Buena Vista,SUPERVISORIAL DISTRICT 5,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7668015725, -122.447713)"
07/09/2014,BP FILED,2815 POLK ST,,Resident,,,201407090811,CONSTRUCT NEW 3-STORY MULTI-FAMILY RESIDENCE,07/09/2014,$1500000.00,APARTMENTS,APN 0478003,0,Russian Hill,,Northeast,SUPERVISORIAL DISTRICT 2,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.8027501335, -122.423410)"
09/03/2015,PL APPROVED,2824 JENNINGS ST,,PDR,2014.0954,"Demolish 7 PDR buildings, adjust lot lines, and construct 2 PDR buildings.",,,08/14/2014,$105000.00,APARTMENTS,APN 4912001,-1,Bayview,Bayview Hunters Point,South Bayshore,SUPERVISORIAL DISTRICT 10,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",40-X,0,0,0,0,0,0,0,0,0,0,27170,28200,1030,0,0,0,0,0,0,0,0,0,,,,,"(37.7225688315, -122.392986)"
04/22/2015,BP FILED,2829 25TH ST,,Resident,,,201504224286,HORIZONTAL & VERTICAL ADDITION TO A SINGLE FAMILY BUILDING FOR 4 RESIDENTIAL UNITS INCLUDING (N) BAT,04/22/2015,$800000.00,APARTMENTS,APN 4276028,0,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",40-X,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7510550184, -122.406707)"
01/20/2014,PL APPROVED,2909 BUSH ST,,Resident,2013.0129,Rear yard & parking variance to expand existing rear cottage and create 2nd dwelling unit,,,02/05/2013,$19000.00,,APN 1055021,-1,Western Addition,,Richmond,SUPERVISORIAL DISTRICT 2,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jeremy Paul,Jeremy Paul,415-552-1888,KBURNS,"(37.7850790243, -122.445523)"
09/22/2015,CONSTRUCTION,2830 22ND ST,,Resident,2012.1417,"Variance request to the rear yard requirement, open space, and exposure to convert existing structure to an additional unit for residential occupancy including the replacement of a deck/balcony/stairs to primary structure.",201210011010,"ADD 3RD DWELLING UNIT TO (E) 2 UNIT BLDG. REMODEL REAR COTTAGE TO INCLUDE KITCHEN, BATHROOM, HALF BA",10/01/2012,$48000.00,APARTMENTS,APN 4146019,-1,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,3,1,0,0,0,0,0,0,0,0,1050,0,-1050,0,0,0,0,0,0,0,0,0,"Fergus O'Sullivan & Schermco, Inc.",Fergus O'Sullivan,415-238-2782,DSANCHEZ,"(37.7561367271, -122.410977)"
07/11/2012,BP FILED,2830 24TH ST,,Resident,2006.0934,CONSTRUCT FOUR RESIDENTIAL UNITS AND ONE COMMERCIAL RETAIL/LAUNDROMAT WITHOUT PARKING 161(J),201207114624,HORIZONTAL & VERTICAL ADDITION TO EXISTING BLDG. ADDITIONAL 3 UNITS TO THE EXISTING.,08/10/2006,$1305890.00,,APN 4209017,-1,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,NCT-24TH-MISSION,24TH-MISSION NEIGHBORHOOD COMMERCIAL TRANSIT,45-X,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Samuel Kwong,Samuel Kwong,391-3313,EOROPEZA,"(37.7530474102, -122.408791)"
11/02/2015,BP FILED,2832 UNION ST,,Resident,,,201511021455,CONSTRUCT (N) 3-STORY SINGLE FAMILY RESIDENCE,11/02/2015,$1300000.00,1 FAMILY DWELLING,APN 0948003A,0,Marina,,Marina,SUPERVISORIAL DISTRICT 2,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7960087665, -122.446098)"
09/21/2015,BP ISSUED,2851 FILBERT ST,,Resident,2010.0723,Rehabilitation and alteration of historic cottage located on the rear of the property line and proposed new construction of a residential building located on the primary elevation of the lot.,201205251254,,08/23/2010,$0.00,,APN 0948018,-1,Marina,,Marina,SUPERVISORIAL DISTRICT 2,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,William Pashelinsky,William Pashelinsky,379 - 3676,MCORRETT,"(37.7963837285, -122.446362)"
10/04/2013,BP FILED,2855 FILBERT ST,,Resident,,,201310048576,ERECT TYPE 5 3-STORY SINGLE FAMILY RESIDENCE.,10/04/2013,$800000.00,1 FAMILY DWELLING,APN 0948029,0,Marina,,Marina,SUPERVISORIAL DISTRICT 2,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7963799742, -122.446458)"
11/03/2015,BP FILED,2855 FOLSOM ST,,Resident,,,201511031542,PROPOSED CONVERSION OF (E) STORAGE @ 1ST FLLOR & (E) ATTIC AREA TO CONDITIONED LIVING SPACE TO ACCOM,11/03/2015,$400000.00,APARTMENTS,APN 6521031,0,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7517154623, -122.413668)"
07/18/2011,BP ISSUED,287 11TH AV,,Resident,,,201009241614,"(REAR BLDG) TO ERECT 3 STORIES, SINGLE FAMILY RESIDENT.",09/24/2010,$270000.00,APARTMENTS,APN 1422016,-1,Inner Richmond,,Richmond,SUPERVISORIAL DISTRICT 1,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7830434647, -122.470127)"
04/21/2015,CONSTRUCTION,287 CRESTA VISTA DR,,Resident,,,201302069581,"ERECT 2-STORY, TYPE 5, SINGLE FAMILY DWELLING BLDG.",02/06/2013,$500000.00,1 FAMILY DWELLING,APN 2993088,-1,West of Twin Peaks,,Ingleside,SUPERVISORIAL DISTRICT 7,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7356510126, -122.453629)"
12/01/2014,BP FILED,2877 FOLSOM ST,,Resident,,,201412012693,CONSTRUCT (N) 4-STORY SINGLE FAMILY DWELLING RESIDENCE.,12/01/2014,$800000.00,1 FAMILY DWELLING,APN 6521025,0,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7512978242, -122.413629)"
02/11/2016,CONSTRUCTION,2881 MISSION ST,,Mixres,2014.0001,Variance request to the rear yard requirement to accomodate the change of density from two units to four over commercial use in NCT.,201212045418,IN 2ND FLOOR CONVERT EXTG RESIDENTIAL UNIT INTO 2 ONE BEDROOM UNITS. IN 3RD FLOOR MODIFY EXTG BEDROO,12/04/2012,$50000.00,APARTMENTS,APN 6517022,-1,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,NCT-MISSION,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,80-B,4,2,0,0,220,220,0,1883,873,-1010,391,391,0,0,0,0,0,0,0,0,0,0,Dianda Bros Investments,Gordon Atkinson,415 731 9927,EJACKSON,"(37.7509669159, -122.417976)"
02/05/2014,BP ISSUED,2882 - 2890 GEARY BL,,Resident,2011.0830,Rear yard variance,201106027305,"CONVERSION OF TWO EXISTING OFFICE INTO TWO RESIDENTIAL APARTMENT UNIT, UNIT #1 1,499 SQ FT, UNIT #2",06/02/2011,$20000.00,,APN 1069045,-1,Presidio Heights,,Richmond,SUPERVISORIAL DISTRICT 2,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lam Chan,Lam Chan,415-440-4543,CLAMOREN,"(37.7823797743, -122.449863)"
08/19/2013,BP ISSUED,2895 SAN BRUNO AV,,Mixres,2010.0627,"convert gas station to 5 four story mixed use buildings on 11,250 sqft lot. The project would include new construction of a 5 four-story mixed-use buildings with 10 residential units, 4,230 sq.ft. of retail, and 6,748 sq.ft. of office.",201209270766,,07/29/2010,$0.00,,APN 5457037,-1,Excelsior,,South Central,SUPERVISORIAL DISTRICT 9,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",40-X,10,10,1,1,0,4230,4230,0,6748,6748,0,0,0,0,0,0,0,0,0,0,0,0,,,,BFU,"(37.7255411478, -122.402449)"
01/08/2016,PL FILED,2918 MISSION ST,,Mixres,2014.0376,Project involves the demolition of the existing retail building and surface parking lot and the construction of a new residential/retail building. The proposed building is 64' and six stories high. Approximately 18 parking spaces plus car share space.  1,,,03/11/2014,$0.00,,APN 6529002,0,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,NCT-MISSION,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,65-B,55,55,7,7,5500,5000,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SMENDRIN,"(37.7503125814, -122.418539)"
04/20/2015,BP FILED,292 ARLETA AV,,Resident,,,201504204018,CONSTRUCT (N) 2-STORY SINGLE FAMILY DWELLING UNIT.,04/20/2015,$150000.00,1 FAMILY DWELLING,APN 6234024,0,Visitacion Valley,,South Central,SUPERVISORIAL DISTRICT 10,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7146311602, -122.408601)"
03/20/2015,BP FILED,2920 FRANKLIN ST,,Resident,,,201503201461,"ERECT 4-STORY, NO BASEMENT, TYPE 5B, 2 DWELLING UNITS BUILDING.",03/20/2015,$800000.00,2 FAMILY DWELLING,APN 0498020,0,Marina,,Marina,SUPERVISORIAL DISTRICT 2,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.8015373927, -122.425995)"
04/10/2015,BP FILED,2944 21ST ST,,Resident,,,201504103363,LEGALIZATION OF DWELLING UNIT INSTALLED W/O PERMIT PER ORD #43-14. NO BULD HEIGHT INCREASE & INTERIO,04/10/2015,$50000.00,APARTMENTS,APN 3612017,0,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7575371057, -122.413300)"
