BESTSTAT,BESTDATE,NAMEADDR,CASENO,BPAPPLNO,PROPUSE,BLKLOT,LANDUSE,DESCRIPT,DBIDESC,UNITS,UNITSNET,AFF,AFFNET,TOTAL_GSF,CIE,MED,MIPS,PDR,RET,VISIT,NET_GSF,CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,Entitlement,Alias,ZONING,ZONING_SIMPLIFY,HEIGHT,PLNNBRHOOD,PLNDISTRICT,SUPEDIST,SOURCE,PLANNER,FILEDATE,SPONSOR,CONTACT,CONTACTPH,DECISION,DECDATE,ACTION,ACTDATE,GEOGRAPHY
CONSTRUCTION,05/28/2015,555 FULTON ST,2005.1085,201305036062,APARTMENTS,794028,Resident,,"TO ERECT 5 STORIES OF 139 DWELLING UNITS, RETAIL, PARKING, STORAGE OFFICE UTILITY, ASSEMBLY",139,139,0,0,32800,0,0,0,0,32800,0,13180,0,0,0,-19620,32800,0,true,,RESIDENTIAL TRANSIT ORIENTED DISTRICT,RTO,40-X/50-X,Western Addition,Western Addition,SUPERVISORIAL DISTRICT 5,PERMIT TRACKING,MJACINTO,,,,,,,REINFORCING STE,May 28 2015,"(37.77816804190, -122.42575227900)"
CONSTRUCTION,06/05/2015,144 KING ST,2004.1326,201306280783,,3794024,Mixres,To demolish a non-contributing building in South End HD and construct new 131-room hotel with ground floor retail and no off-street parking. Seeking variances for parking and for restrictions on bay window dimensions (Sections 151 and 136).,ERECT 12 STORIES OF HOTEL WITH A RESTAURANT & 132 GUEST ROOMS.,132,132,0,0,49500,0,0,0,0,0,49500,43845,0,0,0,-5655,0,49500,true,,MIXED USE-OFFICE,MUO,105-F,South of Market,South of Market,SUPERVISORIAL DISTRICT 6,CASE TRACKING,WHASTIE,June 21 2005,David  Levy,David  Levy,415-268-6238,,,REINFORCING STE,June 05 2015,"(37.77932129610, -122.39094442500)"
BP ISSUED,12/24/2014,630 INDIANA ST,2012.1574,201312244989,AUTO REPA,4041009,Resident,"The proposed project includes demolition of the existing structures on the project site and construction of an approximately 114,700 sf building with 111 residential units and approximately 1,900 sf of ground-floor neighborhood-serving retail uses. The p","680 I: TO ERECT 5 STORIES OF 51 DWELLING UNITS WITH ASSEMBLY/PARKING
660 i: ERECT 5 STORIES, 60 DWELLING UNITS.",111,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,,URBAN MIXED USE,UMU,58-X,Potrero Hill,South of Market,SUPERVISORIAL DISTRICT 10,BLDG PERMIT,DSANCHEZ,,,,,,,ISSUED,December 24 2014,"(37.76214782950, -122.39186164300)"
PL APPROVED,05/14/2009,429 BEALE ST,2007.1121,200903134091,,3767305,Resident,"Demolition of existing structures, construction of a new 8 story 84 foot building with 113 dwelling units and 57 parking spaces",,113,113,0,0,0,0,0,0,0,0,0,-35628,0,0,0,-35628,0,0,true,,RINCON HILL DOWNTOWN RESIDENTIAL,RH DTR,84-X,South of Market,South of Market,SUPERVISORIAL DISTRICT 6,CASE TRACKING,BFU,February 27 2009,Tuija I. Catalano,Tuija I. Catalano,415 567-9000,APPR/WC,May 26 2009,,,"(37.78724763560, -122.39039559300)"
PL APPROVED,03/26/2009,168 EDDY ST,2007.1342,,,331010,Mixres,"100% Affordable housing, approx 170-u over 15,000 retail. TNDC.",,170,170,170,170,15000,0,0,0,0,15000,0,15000,0,0,0,0,15000,0,true,,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",RC-4,80-T-130-T,Downtown/Civic Center,Downtown,SUPERVISORIAL DISTRICT 6,CASE TRACKING,KGUY,July 30 2008,Nick Griffin,Nick Griffin,415.776.2151,Approved,March 26 2009,,,"(37.78445261020, -122.41065475400)"
BP ISSUED,03/31/2015,580 HAYES ST,,201312093685,,807010,Resident,,ERECT 4-STORY TYPE V NEW BUILDING.,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,,HAYES NCT,NCT,55-X,Western Addition,Western Addition,SUPERVISORIAL DISTRICT 5,CASE TRACKING,MLI,,Ali Kia Shabahangi,Steven Vettel,415 268 6171,,,ISSUED,March 31 2015,"(37.77675667770, -122.42602925500)"
CONSTRUCTION,03/03/2015,1420 MISSION ST,2011.1043,201212216752,APARTMENTS,3507039,Resident,"New high rise residential building with approximately 190 dwelling units and a podium courtyard, parking, retail, residential entrance and utility spaces will be located on the ground floor.","ERECT 15-STORY, 190 DWELLING UNITS, TYPE 1, NEW BUILDING.",167,167,167,167,0,0,0,0,0,0,0,12250,0,0,0,0,12250,0,true,,DOWNTOWN- GENERAL,C-3-G,150-S,South of Market,Downtown,SUPERVISORIAL DISTRICT 6,PERMIT TRACKING,DLEWIS,,,,,,,OK TO COVER,March 03 2015,"(37.77528266730, -122.41649002000)"
CONSTRUCTION,05/19/2015,1415 MISSION ST,2005.054,200810315586,,3510001,Mixres,"Demo. of a tire store and construction of a 16-story mixed-use project with 156 dwelling units, 156 off-street valet parking spaces, and 2,350 GSF of ground floor retail use & 2,430 sf office.  Zoning Map Change, CU, and Section 309.",CONSTRUCTION OF FOURTEEN STORIES WITH 3 BASEMENTS ONE HUNDRED SEVENTEEN UNITS W/COMMERCIAL MIXED USE,121,121,0,0,4780,0,0,2430,0,2350,0,300,0,0,2430,-4480,2350,0,true,,DOWNTOWN- GENERAL,C-3-G,130-L,South of Market,Downtown,SUPERVISORIAL DISTRICT 6,CASE TRACKING,BFU,August 27 2009,Charles J. Higley,Charles J. Higley,415 567 9000,APPR/WC,November 12 2009,ROUGH FRAME,May 19 2015,"(37.77490763170, -122.41591982200)"
CONSTRUCTION,06/05/2015,5800 03RD ST,2012.0045,201211073775,APARTMENTS,5431A001,Resident,The proposed project would construct buildings #3 and #4 as a modification to the previously approved project (case # 2003.0672CE). Building #3 will construct 150 market rate residential units with 141 at-grade parking spaces. Building #4 would construct,"ERECT 4-STORY, TYPE 5, 121 DWELLING UNITS BUILDING.",121,121,0,0,0,0,0,0,0,0,0,13000,0,0,0,13000,0,0,true,,LIGHT INDUSTRIAL,M-1,65-J,Bayview,South Bayshore,SUPERVISORIAL DISTRICT 10,CASE TRACKING,MSNYDER,,Robert Kagan,"Jared Eigerman, Esq,",568,APPROVED,October 25 2012,INSULATION,June 05 2015,"(37.72517312110, -122.39552004300)"
CONSTRUCTION,09/07/2012,1000 16TH ST,2003.0527,201112070227,,3833001,Resident,"The proposed project involves the construction of three building residential complex including 450 dwelling units, 26,500gsf of ground-floor retail space and 503 off-street parking spaces.  The project would include a partial street vacation to narrow th",,385,385,0,0,26500,0,0,0,0,26500,0,26500,0,0,0,0,26500,0,true,Potrero1010,URBAN MIXED USE,UMU,68-X,South of Market,South of Market,SUPERVISORIAL DISTRICT 10,BLDG PERMIT,KDURANDE,February 23 2006,Andy Stewart,Daniel Murphy,(650)359-535,APPR/WC,July 28 2011,ISSUED,September 07 2012,"(37.76710834060, -122.39659516800)"
CONSTRUCTION,05/28/2015,55 Laguna Street,2004.0773,201209059006,,857001,Mixres,"Mixed-use project which would include construction of seven new buildings and the adaptive re-use of two existing buildings for 491 dwelling units, 421 off-street parking spaces, 3,500 GSF of retail use, 12,000 GSF for a dental clinic, and 12,590 GSF for",,450,450,160,160,3500,0,0,0,0,3500,0,28090,12590,12000,0,0,3500,0,true,,"RESIDENTIAL- MIXED, MEDIUM DENSITY",RM-3,40-X,Western Addition,Buena Vista,SUPERVISORIAL DISTRICT 8,CASE TRACKING,JKUGLER,October 31 2006,Ruthy Bennett,Ruthy Bennett,510-267-4679,CEQA,March 04 2008,"ROUGH FRAME, PA",May 28 2015,"(37.77234985560, -122.42627864400)"
CONSTRUCTION,05/27/2015,1100 GOLDEN GATE AV,2008.1162,201207104447,,757025,Resident,"New construction of 5-story, 145-foot tall housing tower(s) with 98 affordable senior rental units",ERECT TYPE 1 & TYPE V NEW BUILDING,98,98,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,1239 TURK ST,"RESIDENTIAL- MIXED, MEDIUM DENSITY",RM-3,50-X,Western Addition,Western Addition,SUPERVISORIAL DISTRICT 5,CASE TRACKING,CNIKITAS,December 11 2008,Desiree Espinoza,Desiree Espinoza,415-421-8605,APPROVED,February 02 2012,REINFORCING STE,May 27 2015,"(37.78025858770, -122.42948528300)"
CONSTRUCTION,06/01/2015,2600 ARELIOUS WALKER DR,,201401166470,APARTMENTS,4884025,Resident,,"TO ERECT 5 STORIES, NO BASEMENT, 93 DWELLINGS UNITS WITH PARKING(MAHER: COMPLIANCE WITH ORDINANCE NO",93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,,PUBLIC,P,CP,Bayview,South Bayshore,SUPERVISORIAL DISTRICT 10,PERMIT TRACKING,,,,,,,,REINFORCING STE,June 01 2015,"(37.71938264020, -122.38493438200)"
PL APPROVED,06/26/2014,1036-1040 MISSION ST,2014.0103,,,3703079,Mixres,"A 9 story mid-rise residential building, housing 83 afforable units ranging from studios (junior one-bedrooms to three bedroom flats. The project also includes common rooms, management offices, laundry, lobby, circulation & supportive service spaces desi",,83,83,83,83,963,0,0,0,0,963,0,963,0,0,0,0,963,0,true,,DOWNTOWN- GENERAL,C-3-G,120-X,South of Market,Downtown,SUPERVISORIAL DISTRICT 6,CASE TRACKING,KCONNER,January 16 2014,Nick Griffin,Nick Griffin,415.776.2151,Approved,June 26 2014,,,"(37.78058500940, -122.40978554700)"
CONSTRUCTION,06/08/2015,101 DONAHUE ST,,200907223197,APARTMENTS,4591C042,Resident,,"TO ERECT 4 STORIES, 63 RESIDENTIAL CONDOMINIUM UNITS.(VACANT LOT)",63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,HP-RA,Bayview,South Bayshore,SUPERVISORIAL DISTRICT 10,PERMIT TRACKING,,July 22 2009,,,,,,OK TO COVER,June 08 2015,"(37.72900148600, -122.36963923100)"
BP FILED,10/25/2010,101 EXECUTIVE PARK BL,2003.1113,200512281146,APARTMENTS,4991600,Resident,,GRADING,110,12,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,,COMMUNITY BUSINESS,C-2,40-X,Bayview,South Bayshore,SUPERVISORIAL DISTRICT 10,PERMIT TRACKING,JBANALES,October 23 2003,,,,Approved,June 16 2005,REINSPECT REQUI,October 25 2010,"(37.71267575280, -122.39544665500)"
BP FILED,12/03/2013,1545 PINE ST,2006.0383,201312033256,,667016,Mixres,"Demolish three existing buildings and construct two buildings, a 14-story building and a six-story building containing a total of 113 dwelling units, 113 parking spaces, and 10,000 sq. ft. of ground floor commercial. The new building would be approximate","TO ERECT 12 STORIES, 2 BASEMENT, 107 RESIDENTIAL WITH RETAIL AND PARKING.",107,107,0,0,5229,0,0,0,0,5229,0,-22771,0,0,-16000,-12000,5229,0,true,,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",RC-4,130-V,Nob Hill,Northeast,SUPERVISORIAL DISTRICT 3,CASE TRACKING,SLAI,November 21 2012,Eileen Long,Lucian Robert Blazej,415 695-1111,Approved,October 02 2014,,,"(37.78927210560, -122.42121122900)"
BP FILED,08/03/2012,340 FREMONT ST,2004.0552,201208036505,,3748006,Mixres,"Demolition of two existing building and construction of two residential buildings with up to 355 dwelling units, 2,335 GSF, and 336 off-street parking spaces.","TO ERECT 40 STORIES, 3 BASEMENT, 345 UNITS OF RESIDENTIAL WITH COMMERCIAL OFFICE, ASSEMBLY, STORAGE & PARKING.",384,384,0,0,2350,0,0,0,0,2350,0,-42650,0,0,-45000,0,2350,0,true,,RINCON HILL DOWNTOWN RESIDENTIAL,RH DTR,85/250-R,South of Market,South of Market,SUPERVISORIAL DISTRICT 6,CASE TRACKING,JKUGLER,May 12 2006,Oyster Development Corp.,Andrew Junius,567-9000,GRANTED W/C,June 15 2006,,,"(37.78711960580, -122.39323121400)"
CONSTRUCTION,06/02/2015,45 LANSING ST,2004.0481,201009140800,APARTMENTS,3749059,Resident,"Demolition of an existing building and construction of a 400-foot mixed-use building with 305 dwelling units, 280 off-street parking spaces, and 1,000 GSF of ground floor retail use.","TO ERECT 40 STORIES, 224 UNITS RESIDENTIAL & MIXED USE BUILDING.",320,320,0,0,0,0,0,0,0,0,0,-14000,0,0,-15000,0,1000,0,true,,RINCON HILL DOWNTOWN RESIDENTIAL,RH DTR,65/400-R,South of Market,South of Market,SUPERVISORIAL DISTRICT 6,CASE TRACKING,JKUGLER,May 19 2004,Ezra Mersey,James A. Reuben,567-9000,Approved,August 21 2013,"ROUGH FRAME, PA",June 02 2015,"(37.78587343080, -122.39374874100)"
CONSTRUCTION,05/28/2015,399 FREMONT ST,2002.0449,200605161774,,3747320,Mixres,"The proposal is to demolish the existing structure and construct a new structure that would include a 400-foot tower, 450 dwelling units, and 450 off-street parking spaces.",ERECT 41 STORIES 432 DWELLING RESIDENTIAL/PARKING BLDG.,452,452,0,0,33000,0,0,24500,0,8500,0,-2256,0,0,24500,-35256,8500,0,true,,RINCON HILL DOWNTOWN RESIDENTIAL,RH DTR,85/400-R,South of Market,South of Market,SUPERVISORIAL DISTRICT 6,CASE TRACKING,MSNYDER,April 18 2006,Katie Haley,Lucian Robert Blazej,415.695.1111,Approved,March 16 2006,"ROUGH FRAME, PA",May 28 2015,"(37.78732243330, -122.39222370700)"
CONSTRUCTION,12/31/2014,PARCEL P - MARKET OCTAVIA,2011.0744,201210051462,,831023,Mixres,"Mixed Use Development - Residential over podium garage, approx. 182 units of apartments, 126 spaces maximum parking garage, leasing fitness and 3,900 sq.ft. corner retail space (at Octavia & Laguna Streets) in Hayes NCT, RTO Districts.","TO ERECT 5 STORIES, 182 UNITS APARTMENT, RETAIL & PARKING BUILDING.",182,182,0,0,3897,0,0,0,0,3897,0,3897,0,0,0,0,3897,0,true,,RESIDENTIAL TRANSIT ORIENTED DISTRICT,RTO,50-X,Western Addition,Western Addition,SUPERVISORIAL DISTRICT 5,CASE TRACKING,KGUY,August 03 2011,Meg Spriggs,Meg Spriggs,415-284-9087,Approved,June 28 2012,SOUND TRANSMISS,December 31 2014,"(37.77496211090, -122.42511956400)"
PL APPROVED,06/05/2014,650 ILLINOIS ST,2010.0726,,,3994001C,Resident,"Demolition of existing structures and the construction of a new 6-story, 65.4-ft-tall building with 71,225 sf of residential (97 dwellings) and 45 off-street parking spaces.",,97,97,0,0,0,0,0,0,0,0,0,-15349,0,0,0,-15349,0,0,true,,URBAN MIXED USE,UMU,68-X,Potrero Hill,South of Market,SUPERVISORIAL DISTRICT 10,manual,DVU,August 23 2010,,,,Approved,June 05 2014,,,"(37.76378560360, -122.38837482800)"
BP ISSUED,01/27/2015,645 TEXAS ST,2012.1218,201312093691,,4102026,Resident,"The proposed project would construct a new 4-story, 94 unit residential project over 64 off-street parking spaces. The proposed building would be 4 stories and 45 feet in height.",ERECT 5-STORY TYPE-V NEW RESIDENTIAL BUILDING.,94,94,0,0,0,0,0,0,0,0,0,-30000,0,0,-10000,-20000,0,0,true,1300 22nd Street,MIXED USE-RESIDENTIAL,MUR,40-X,Potrero Hill,South of Market,SUPERVISORIAL DISTRICT 10,CASE TRACKING,DSANCHEZ,May 09 2013,Peter & Daniel Cliff,Christopher Davenport,925 309-2503,,,ISSUED,January 27 2015,"(37.75796340920, -122.39457181300)"
PL APPROVED,10/03/2012,363 06TH ST,2011.0586,,,3753079,Mixres,Remove existing 2-story commercial building and construct a new 9-story mixed-use building.,,87,87,0,0,2226,0,0,0,0,2226,0,-10170,0,0,0,-12396,2226,0,true,,MIXED USE-RESIDENTIAL,MUR,85-X,South of Market,South of Market,SUPERVISORIAL DISTRICT 6,CASE TRACKING,CTEAGUE,July 12 2012,David  Hecht,David  Hecht,979-1500,Withdrawn,,,,"(37.77804875720, -122.40444669100)"
PL APPROVED,07/02/2013,301 06TH ST,2013.0538,,,3753122,Mixres,The proposed project would demolish a former gas station now car detailing structure to erect a 7-story plus basement mixed use building.  Basement level would have 46 off-street parking.  Ground level: commercial space and residential units.  Floors 2 t,,84,84,0,0,4700,0,0,0,0,4700,0,3700,0,0,0,0,3700,0,true,,MIXED USE-RESIDENTIAL,MUR,85-X,South of Market,South of Market,SUPERVISORIAL DISTRICT 6,manual,TBLOMGRE,August 29 2014,Bruce Bau,Bruce Bau,397-7416,Approved,July 02 2013,,,"(37.77844191350, -122.40508642100)"
PL APPROVED,05/01/2014,345 06TH ST,2013.1773,,,3753081,Mixres,"The proposed project would construct an eight-story mixed use building with 89 SRO units and one 3,090 square-foot commercial space.",,89,89,0,0,3090,0,0,0,0,3090,0,6835,0,0,3745,0,3090,0,true,,MIXED USE-RESIDENTIAL,MUR,85-X,South of Market,South of Market,SUPERVISORIAL DISTRICT 6,CASE TRACKING,RSUCRE,May 01 2014,Marge Vincent,Toby Morris,749-0302,Approved,,,,"(37.77816490250, -122.40467738400)"
CONSTRUCTION,05/26/2015,2198 MARKET ST,2012.1362,201312134180,,3542039,Mixres,"New construction of mixed use project consisting of 85 dwelling units, 4,745 sf of retail space on Market Street.  Parking in a below grade garage for 35 independent stalls, 1 car share and 87 bicycles.  Lot is currently vacant. E application (1/16/13) p","ERECT 6 STORIES, 1 BASEMENT, 87 DWELLING UNITS, RESIDENTIAL & RETAIL.",87,87,0,0,4845,0,0,1145,0,3700,0,4845,0,0,1145,0,3700,0,true,,UPPER MARKET NEIGHBORHOOD COMMERCIAL TRANSIT,NCT,60/65-X,Castro/Upper Market,Buena Vista,SUPERVISORIAL DISTRICT 8,PERMIT TRACKING,MSMITH,January 16 2013,,,,,,REINFORCING STE,May 26 2015,"(37.76652671130, -122.43076850000)"
BP ISSUED,06/01/2015,490 SOUTH VAN NESS AV,2010.0043,201010052342,,3553008,Mixres,"Construction of a new 8-story mixed-use building with 81 dwelling units, 2,529 square-feet of retail, and one basement level with 44 off-street parking spaces.","TO ERECT 7 STORIES, 1 BASEMENT WITH 84 UNITS RESIDENTIAL & PARKING.",84,84,0,0,2529,0,0,0,0,2529,0,-689,0,0,0,-1620,931,0,true,,URBAN MIXED USE,UMU,68-X,Mission,Mission,SUPERVISORIAL DISTRICT 9,CASE TRACKING,CTEAGUE,January 21 2010,Bruce D. Baumann,Bruce D. Baumann,551.7884x3,Approved,February 26 2010,ISSUED,June 01 2015,"(37.76547993700, -122.41782385200)"
CONSTRUCTION,04/08/2015,344 - 388 FULTON ST,2012.0325,201303273113,,785029,Mixres,"Sponsor is proposing two structures (1) a four-story, 60,049 sf
 Boys & Girls Club clubhouse and recreation facility including a pool, gymnasium and administrative offices, and (2) a six-story, 36,609 sf building with 60-75 dwelling units and 3,771 sf o","ERECT 6 STORIES, NO BASEMENT, 69 UNITS RESIDENTIAL APARTMENTS WITH GROUND FLOOR RETAIL.",69,69,0,0,63820,60049,0,0,0,3771,0,63820,60049,0,0,0,3771,0,true,FWY PARCEL F,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,NCT-3,65-X,Downtown/Civic Center,Western Addition,SUPERVISORIAL DISTRICT 5,CASE TRACKING,KGUY,November 07 2012,David Noyola,David Noyola,415-263-9144,Approved,April 23 2013,"ROUGH FRAME, PA",April 08 2015,"(37.77907202680, -122.42287966200)"
CONSTRUCTION,05/29/2015,401 INNES AV,,200912223671,APARTMENTS,4591C095,Resident,,"TO ERECT 5 STORY, 35 RESIDENTIAL UNITS WITH PARKING. (NO BASEMENT)",35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,HP-RA,Bayview,South Bayshore,SUPERVISORIAL DISTRICT 10,PERMIT TRACKING,,December 22 2009,,,,,,REINSPECT REQUI,May 29 2015,"(37.72813472410, -122.36944214900)"
CONSTRUCTION,05/15/2015,1 FRANKLIN ST,2010.0102,200912032516,,837003,Mixres,"Construct a new 8-story, 35-unit mixed-use building with ground-floor commercial.  See 2008.1328",CONSTRUCTION OF 8-STORY 35 DWELLING UNITS W/RETAIL & PARKING.,35,35,5,5,2384,0,0,0,0,2384,0,2384,0,0,0,0,2384,0,true,,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,NCT-3,85-X,Downtown/Civic Center,Buena Vista,SUPERVISORIAL DISTRICT 5,CASE TRACKING,TFRYE,February 19 2010,John Ramsbacher,Warner Schmalz,415-252-7063,Approved,April 06 2010,"FORMS, PARTIAL",May 15 2015,"(37.77442891770, -122.42111019100)"
CONSTRUCTION,04/29/2015,1860 VAN NESS AV,2004.089,200602215057,APARTMENTS,619012,Mixres,"The proposed project is demolition of a gas station on a 8,960-gsf site at the corner of Van Ness Avenue and Washington Street and construction of a 8-story 58,065-gsf residential mixed-use structure with 35 dwelling units, and 35 parking spaces in two s","TO ERECT 7 STORIES, 35 DWELLING UNITS OF RESIDENTIAL & RETAIL STORE.",35,35,0,0,1625,0,0,0,0,1625,0,1625,0,0,0,0,1625,0,true,,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",RC-4,80-D,Nob Hill,Northeast,SUPERVISORIAL DISTRICT 3,CASE TRACKING,JKUGLER,December 20 2005,Tuija Catalano,Tuija Catalano,567-9000,Approved,June 07 2007,OK TO POUR,April 29 2015,"(37.79291125620, -122.42241383300)"
PL APPROVED,09/02/2014,6424 3rd Street / 188 Key Avenue,2014.1058,,,5470002,Resident,"Demolish 1.5 story commercial structure, currently used as a funeral home, and construct four-story building with 17 residential units over 2,121 sf retail and 17 parking spaces on ground floor.",,17,17,0,0,0,0,0,0,0,0,0,-3600,0,0,0,0,-3600,0,true,,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",NC-3,40-X,Bayview,South Bayshore,SUPERVISORIAL DISTRICT 10,CASE TRACKING,MHUE,October 14 2014,Victor Quan,Victor Quan,531-8311,Approved,September 02 2014,,,"(37.71984966090, -122.39716768800)"
CONSTRUCTION,10/13/2010,1825 Owens Street,,,HOSPITAL,8724001,MED,,,0,0,0,0,1800500,0,1800500,0,0,0,0,1800500,0,1800500,0,0,0,0,true,UCSF Medical Center,SEE MISSION BAY SOUTH REDEVELOPMENT PLAN,MB-RA,MB-RA,Potrero Hill,South of Market,SUPERVISORIAL DISTRICT 6,manual,,,,,,,,,,"(37.76590849220, -122.39014307600)"
PL APPROVED,03/07/2014,SAN FRANCISCO OVERLOOK,2004.0093,,,2636025,Resident,"The proposed project would involve the construction of 34 dwelling units and 40 off-street parking spaces in four new buildings on an undeveloped site.  The residential buildings would four stories in height, approximately 20 feet in height from grade.",,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,OVERLOOK,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,40-X,Inner Sunset,Inner Sunset,SUPERVISORIAL DISTRICT 7,CASE TRACKING,,,,,,,,,,"(37.75894098840, -122.46078167400)"
BP ISSUED,06/20/2014,800 PRESIDIO AV,2006.0868,201204168406,,1073013,Mixres,"The proposed project would demolish the existing one-story community center and construct a new building consisting of 83 dwelling units (59 units of work-force housing and 21 units of affordable housing.), 21,500 sq. ft. community center on the ground f","TO ERECT 5 STORIES, 50 UNITS COMMUNITY CENTER / HOUSING, MIXED USED BUILDING WITH 1 BASEMENT.",83,83,83,83,21500,21500,0,0,0,0,0,10180,10180,0,0,0,0,0,true,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,40-X-55-X,Western Addition,Richmond,SUPERVISORIAL DISTRICT 5,CASE TRACKING,MJACINTO,November 12 2008,Patricia  Scott,Bre Martinez,510-267-4679,APPROVED,April 28 2011,ISSUED,June 20 2014,"(37.78404516130, -122.44574326200)"
CONSTRUCTION,05/05/2015,72 TOWNSEND ST,2007.0894,200705010136,RETAIL SALES,3789003,Resident,76 new construction / mixed,"7 STORY ADDITION TO EXISTING 2 STORY COMMERCIAL WAREHOUSE, HIGH RISE BUILDING. ADDITION OF RETAIL, PARKING & 74 RESIDENTIAL UNITS.",74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,,SOUTH BEACH DOWNTOWN RESIDENTIAL,SB-DTR,105-F,South of Market,South of Market,SUPERVISORIAL DISTRICT 6,PERMIT TRACKING,DSANCHEZ,,,,,APPROVED,December 17 2008,OK TO COVER,May 05 2015,"(37.78138809000, -122.39035259400)"
BP FILED,05/05/2014,815 TENNESSEE STREET,2013.022,201405054911,,4059001A,Resident,"Demolition of the two-story 815-825 Tennessee buildings, retaining the brick facade on the corner of Tennessee & 19th Streets (listed as a known historic resource in the Central Watrefront Survey) and construction of a new 6-story apartment building with","TO ERECT 5 STORIES, 1 BASEMENT, 69 UNITS RESIDENTIAL WITH PARKING BUILDING.
** MAHER: COMPLIANCE WIT",69,69,0,0,0,0,0,0,0,0,0,-32000,0,0,0,-32000,0,0,true,,URBAN MIXED USE,UMU,58-X,Potrero Hill,South of Market,SUPERVISORIAL DISTRICT 10,CASE TRACKING,RSUCRE,December 06 2013,Nick Podell,Linsey Perlov,415-296-8800,Approved-Modifications,October 21 2014,,,"(37.76122837550, -122.38925074800)"
BP APPROVED,12/26/2014,2298 03RD ST,2005.0408,201309257711,APARTMENTS,4059009,Mixres,"Demolition of an existing one-story, commercial building and construction of a six-story, mixed-use building with 80 dwelling units, 80 off street parking spaces and appx. 14,000 GSF of ground floor commercial use.","TO ERECT 6 STORIES, 1 BASEMENT, 69 UNITS RESIDENTIAL, COMMERCIAL & PARKING BUILDING.",69,69,11,11,14000,0,0,0,0,14000,0,14000,0,0,0,0,14000,0,true,,URBAN MIXED USE,UMU,68-X,Potrero Hill,South of Market,SUPERVISORIAL DISTRICT 10,CASE TRACKING,CTEAGUE,April 26 2005,Stu During,Stu During,415 986-0884,,,APPROVED,December 26 2014,"(37.76079824980, -122.38890195800)"
BP ISSUED,05/28/2015,896 DE HARO ST,2012.0978,201204249018,2 FAMILY DWELLING,4095018,Resident,,"ERECT 4 STORIES, TYPE 5, 2 DWELLING UNITS BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Potrero Hill,South of Market,SUPERVISORIAL DISTRICT 10,PERMIT TRACKING,,,,,,,,ISSUED,May 28 2015,"(37.75835347050, -122.40125873300)"
BP ISSUED,01/28/2015,347 CRESCENT AV,,200806043667,2 FAMILY DWELLING,5744075,Resident,,CONSTRUCTION OF NEW 2 UNIT RESIDENTIAL BLDG IN A VACANT LOT,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Bernal Heights,Bernal Heights,SUPERVISORIAL DISTRICT 9,PERMIT TRACKING,,,,,,,,ISSUED,January 28 2015,"(37.73515841810, -122.41773286600)"
BP FILED,12/24/2009,721 CLEMENTINA ST,2006.1251,200912243860,1 FAMILY DWELLING,3729039,Resident,,REMODEL FIRST TWO FLOORS & ADD 2 ADDITIONAL STORIES OF RESIDENTIAL. CONVERT (E) 2ND FLOOR TO RESIDEN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,,RESIDENTIAL ENCLAVE-MIXED,RED-MX,45-X,South of Market,South of Market,SUPERVISORIAL DISTRICT 6,PERMIT TRACKING,,October 12 2006,,,,APPR/WC,December 17 2009,,,"(37.77496944710, -122.41092032900)"
CONSTRUCTION,09/05/2014,346 22ND AV,,200505273609,2 FAMILY DWELLING,1453033,Resident,,2 FAMILY RESIDENCES ADDITION & REMODELING,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,40-X,Outer Richmond,Richmond,SUPERVISORIAL DISTRICT 1,PERMIT TRACKING,,,,,,,,SHEETROCK NAILI,September 05 2014,"(37.78128315620, -122.48126758800)"
