,Unnamed: 0,actdate,action,action_seq,address,aff,aff_dec,affnet,affordab_1,affordable,affordable_net,affordablenet,alias,apn,best_date,best_stat,beststat_group,block,bpapplno,building_type_id,caseno,centralsoma,cie,cie_existing,cie_net,cie_proposed,cienet,classified_neighborhood,contact,contactadd,contactcity,contactph,contactphone,cost,cult_inst_educ,dbi_actdate,dbi_action,dbi_filed,dbi_permit,dbi_permit_id,dbi_project_description,dbidesc,decdate,decision,descript,district,districtname,dname,entitled,entitlement,entitlementstatus,filedate,first_project_record_date,firstfiled,fullname,geography,height,height_lim,heightlimit,heightnum,industrial_existing,industrial_net,industrial_proposed,landuse,latest_project_record_date,latest_project_status,location,lot,med,medical,medical_existing,medical_net,medical_proposed,mednet,mips,mipsnet,neighborhood,net_added_sf,net_added_units,net_cult_inst_educ,net_gsf,net_medical,net_office,net_prod_dist_rep,net_ret_ent,net_visitor,new_rehab,objectid,office,office_existing,office_net,office_proposed,original_data_file,parking,parkingnet,pda,pdr,pdrnet,planarea,plandistrict,planner,planning_filed,planning_id,planning_project_description,planningdistrictscombo,pln_review,pln_reviewdate,plndesc,plndistrict,prod_dist_rep,project_dates,project_duration_days,project_statuses,propuse,report_quarter,report_year,ret,ret_ent,retailcomm_existing,retailcomm_net,retailcomm_proposed,retnet,sitearea,sizecat,sort,source,sponsor,sponsor_firm,sponsor_name,standardaddress,status_group,statusgroup,supdist,supedist,taz,tempselect,total_gsf,total_gsf_commercial,totalsqftestim,traffic_analysis_zone,units,unitsnet,visit,visitnet,visitor,visitor_existing,visitor_net,visitor_proposed,x,y,zonename,zoning,zoning_gen,zoning_generalized,zoning_sim,zoning_simplified,zoningdistrictname
4311,4311,,,5.0,571 21ST AV,,,,,,,,,1564013,2013-05-29,BP FILED,,1564,,,,,,,,,,Outer Richmond,,1315 Geneva Ave.,"San Francisco, CA 94112",,415.640.6474,,,,,29-May-13,201305298089,,VERTICAL ADDITION. (N) 3RD FLOOR-CONVERT SINGLE FAMILY HOUSE INTO 2 UNITS. 3RD FL CONSIST OF 3 BEDRO,,,,,,,,,,-1,,2013-05-29,10-Apr-12,Tony Lee 415.640.6474,,,,40-X,,,,,Resident,2013-05-29,BP FILED,"571 21st Av
(37.777102900000003, -122.480546)",013,,,,,,,,,Richmond,0.0,1.0,,,,,,,,,4450.0,,,,,data/raw/San_Francisco_Development_Pipeline_2013_Quarter_3.csv,,,,,,,,,10-Apr-12,2012.0482,"Add an vertical addition, convert existing attic to new 3rd story",,,,,,,"('2012-04-10', '2012-04-10', '2013-02-13', '2013-05-29', '2013-05-29', '2013-05-29', '2013-05-29', '2013-05-29', '2013-05-29', '2013-05-29', '2013-05-29')",0.0,"('PL FILED', 'PL FILED', 'PL APPROVED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",,3,2013,,,,,,,0.0,,,,,,Tony Lee,,,BP Filed,,,282.0,,,0.0,,,2.0,,,,,,,,37.777102899999996,-122.48054599999999,,RH-2,,Residential,,RH-2,
14306,14306,,,,226 - 228 HAIGHT ST,,,,,0.0,0.0,,,APN 0851012,2011-09-23,PL APPROVED,,,201105035210.0,,2011.0484,,,0.0,0.0,0.0,,Hayes Valley,Shawn  Gorman,,,415-713-7486,,$64500.00,,,,,,,,,,,,Buena Vista,RESIDENTIAL TRANSIT ORIENTED DISTRICT,,,,-1.0,,2011-09-23,05/10/2011,,,,,40-X,,0.0,0.0,0.0,Resident,2011-09-23,PL APPROVED,"(37.7728589150, -122.426785)",,,,0.0,0.0,0.0,,,,Western Addition,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,Market and Octavia,,ASTARR,,,,,,,Request for rear yard and exposure variances to add a dwelling unit to an existing three-unit residential building and to add off-street parking to the building.,,,"('2011-09-23', '2011-09-23', '2011-09-23')",0.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED')",,1,2016,,,0.0,0.0,0.0,,,,,,Kurt Friede,,,,,,SUPERVISORIAL DISTRICT 5,,,,,,,,4.0,1.0,,,,0.0,0.0,0.0,37.772858915,-122.42678500000001,,RTO,,,,,
262,262,,,,506 OAK ST,,,,,,,,,0829007,2009-06-25,BP FILED,,0829,,,,,,,,,,Hayes Valley,,,,,,,,,,06/25/2009 07:00:00 AM +0000,200906251343,,TO ERECT 2 STORY SINGLE FAMILY DWELLING,,,,,,,,,,,,2009-06-25,,,,,,40-X,,,,,Resident,2009-06-25,BP FILED,"506 Oak St
(37.774496, -122.427818)",007,,,,,,,,,Western Addition,0.0,1.0,,,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2012_Quarter_1.csv,,,,,,,,,03/04/2008 08:00:00 AM +0000,,Lot split,,,,,,,"('2009-06-25', '2009-06-25', '2009-06-25', '2009-06-25', '2009-06-25', '2009-06-25', '2009-06-25', '2009-06-25', '2009-06-25')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",,1,2012,,,,,,,3300.0,,,,,,,,BP Filed,,5.0,,255.0,,,0.0,,,1.0,,,,,,,,37.774496,-122.42781799999999,,RH-3,,Residential,,RH-3,
14896,14896,,,,774 33RD AV,,,,,0.0,0.0,,,APN 1612017N,2013-02-07,BP FILED,,,201302079711.0,,,,,0.0,0.0,0.0,,Outer Richmond,,,,,,$150000.00,,,,,,,,"LIVING ROOM, 3 BEDROOM & 2 BATH ADDITION. (1,167 SQ FT).  EXISTING BEDROOM CONVERT TO KITCHEN.",,,,Richmond,"RESIDENTIAL- HOUSE, TWO FAMILY",,,,0.0,,2013-02-07,02/07/2013,,,,,40-X,,0.0,0.0,0.0,Resident,2013-02-07,BP FILED,"(37.7745465164, -122.492605)",,,,0.0,0.0,0.0,,,,Outer Richmond,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,,,,,,,,,,,,,"('2013-02-07', '2013-02-07', '2013-02-07')",0.0,"('BP FILED', 'BP FILED', 'BP FILED')",2 FAMILY DWELLING,1,2016,,,0.0,0.0,0.0,,,,,,,,,,,,SUPERVISORIAL DISTRICT 1,,,,,,,,2.0,1.0,,,,0.0,0.0,0.0,37.7745465164,-122.49260500000001,,RH-2,,,,,
12390,12390,,,,94102,,,,,0.0,,0.0,,APN 0327011,2010-03-25,PL APPROVED,,,201508033157.0,,2009.1105,,0.0,,,,0.0,Financial District,Chris Fol,,,577-9885,,,,,,,,,,,,,,,,,-1.0,,,,2010-03-25,12/02/2009,,,80-130-F,,,,,,,Visitor,2010-03-25,PL APPROVED,"94102
(37.78579904460, -122.40744227200)",,0.0,,,,,0.0,0.0,0.0,Downtown/Civic Center,,,,79054.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_3.csv,,,,0.0,0.0,Downtown,Downtown,BHELBER,,,,,,,"Extension of entitlements (Case Nos. 200.383CX and 2004.1047CX) for demolition of an existing surface parking lot and construction of an 11-story, 156 room hotel with ground floor retail.",,,"('2010-03-25',)",0.0,"('PL APPROVED',)",,3,2015,2500.0,,,,,2500.0,,,,CASE TRACKING,Walter Le,,,,,,,SUPERVISORIAL DISTRICT 3,,,79054.0,,,,0.0,0.0,76554.0,76554.0,,,,,37.7857990446,-122.40744227200001,DOWNTOWN- RETAIL,,,,C-3-R,,
13945,13945,,,,1335 LARKIN ST,,,,,0.0,0.0,,,APN 0645003,2014-07-23,PL FILED,,,201403100361.0,,2013.0491,,,0.0,0.0,0.0,,Nob Hill,Tony Pantaleoni,,,415-495-4051,,$6300000.00,,,,,,,,RESERVE EXTERIOR FACADE OF 1 STORY W/ MEZZANINE LEVEL COMMERCIAL GARAGE. NEW CONST WILL RESULT IN A,,,,Northeast,POLK STREET NEIGHBORHOOD COMMERCIAL,,,,0.0,,2014-07-23,03/10/2014,,,,,65-A,,0.0,0.0,0.0,Resident,2014-07-23,PL FILED,"(37.7903301147, -122.419308)",,,,0.0,0.0,0.0,,,,Nob Hill,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,,,LLYNCH,,,,,,,Preserve facade of know Historic Resource and construct 5 stories of residential over parking behind Historic facade.,,,"('2014-07-23', '2014-07-23', '2014-07-23')",0.0,"('PL FILED', 'PL FILED', 'PL FILED')",,1,2016,,,0.0,0.0,0.0,,,,,,Anthony Pantaleoni,,,,,,SUPERVISORIAL DISTRICT 3,,,,,,,,20.0,20.0,,,,0.0,0.0,0.0,37.7903301147,-122.419308,,NCD-POLK,,,,,
14827,14827,,,,645 PERALTA AV,,,,,2.0,1.0,,,APN 5634013,2016-03-03,PL FILED,,,,,2015-001162PRJ,,,0.0,0.0,0.0,,Bernal Heights,Jamie Pratt,,,415-867-5357,,$0.00,,,,,,,,,,,,Bernal Heights,"RESIDENTIAL- HOUSE, TWO FAMILY",,,,0.0,,2016-03-03,03/03/2016,,,,,40-X,,0.0,0.0,0.0,Resident,2016-03-03,PL FILED,"(37.7424570023, -122.408581)",,,,0.0,0.0,0.0,,,,Bernal Heights,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,,,AHUISMAN,,,,,,,Convert an existing single family home into a 2 unit dwelling and new rear construction.,,,"('2016-03-03',)",0.0,"('PL FILED',)",,1,2016,,,0.0,0.0,0.0,,,,,,,,,,,,SUPERVISORIAL DISTRICT 9,,,,,,,,2.0,1.0,,,,0.0,0.0,0.0,37.7424570023,-122.40858100000001,,RH-2,,,,,
12536,12536,,,,PARCEL P - MARKET OCTAVIA,,,,0.0,0.0,,,323 - 325 OCTAVIA ST,APN 0831023,2014-12-31,CONSTRUCTION,,,201210051462.0,,2011.0744,,0.0,,,,0.0,Hayes Valley,Meg Spriggs,,,415-284-9087,,,,,,,,,,"TO ERECT 5 STORIES, 182 UNITS APARTMENT, RETAIL & PARKING BUILDING.",,,"Mixed Use Development - Residential over podium garage, approx. 182 units of apartments, 126 spaces maximum parking garage, leasing fitness and 3,900 sq.ft. corner retail space (at Octavia & Laguna Streets) in Hayes NCT, RTO Districts.",Western Addition,RESIDENTIAL TRANSIT ORIENTED DISTRICT,,-1.0,,,,2014-12-31,08/03/2011,,"(37.77496211000, -122.42511956500)",50-X,,,,,,,Mixres,2014-12-31,CONSTRUCTION,,,0.0,,,,,0.0,0.0,0.0,Western Addition,,,,3897.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_4.csv,,,,0.0,0.0,Market and Octavia,,KGUY,,,,,,,,,,"('2014-12-31', '2014-12-31')",0.0,"('CONSTRUCTION', 'CONSTRUCTION')",,4,2015,3897.0,,,,,3897.0,,,,CASE TRACKING,Meg Spriggs,,,,,,SUPERVISORIAL DISTRICT 5,,,,3897.0,,,,182.0,182.0,0.0,0.0,,,,,37.77496211,-122.425119565,,,,,RTO,,
212,212,,,,623 40TH AV,,,,,,,,,1583006,2007-07-06,BP FILED,,1583,,,,,,,,,,Outer Richmond,,,,,,,,,,07/06/2007 07:00:00 AM +0000,200707066144,,VERTICAL AND HORIZONTAL ADDITION TO EXISTING 2 LEVEL BUILDING AND ADD 1 UNIT.,,,,,,,,,,,,2007-07-06,,,,,,40-X,,,,,Resident,2007-07-06,BP FILED,"623 40th Av
(37.77688, -122.500766)",006,,,,,,,,,Richmond,0.0,1.0,,,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2012_Quarter_1.csv,,,,,,,,,,,,,,,,,,"('2007-07-06', '2007-07-06', '2007-07-06', '2007-07-06', '2007-07-06', '2007-07-06', '2007-07-06', '2007-07-06', '2007-07-06', '2007-07-06', '2007-07-06', '2007-07-06')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",,1,2012,,,,,,,3250.0,,,,,,,,BP Filed,,1.0,,271.0,,,0.0,,,2.0,,,,,,,,37.77688,-122.500766,,RH-2,,Residential,,RH-2,
9227,9227,,,,240 PACIFIC AV,0.0,,0.0,,,,,,166003,2014-08-27,PL FILED,,,,,2013.1757,,0.0,,,,0.0,Financial District,Andrew Junius,,,567-9000,,,,,,,,,,,,,"The project site consists of three adjacent lots fronting both Battery Street and Pacific Avenue, which total 11,680 sf. The site is currently improved with surface parking lots and a single-story commercial sturcture. The project would demolish the exis",Northeast,COMMUNITY BUSINESS,,,,,August 27 2014,2014-08-27,,,"(37.79786972610, -122.40045152300)",84-E,,,,,,,Mixres,2014-08-27,PL FILED,,,0.0,,,,,0.0,0.0,0.0,Financial District,,,,625.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_1.csv,,,,0.0,0.0,,,TCHANG,,,,,,,,,,"('2014-03-18', '2014-08-27')",0.0,"('PL FILED', 'PL FILED')",,1,2015,2018.0,,,,,625.0,,,,CASE TRACKING,Andrew Junius,,,,,,SUPERVISORIAL DISTRICT 3,,,,2018.0,,,,31.0,31.0,0.0,0.0,,,,,37.797869726100004,-122.40045152299999,,,,,C-2,,
8424,8424,,,,899 VALENCIA ST,,,0.0,,0.0,,,,3596113,2015-03-03,CONSTRUCTION,,,200408121427.0,,2004.0891,,0.0,,,,0.0,Mission,Tuija Catalano,,,,,,,03/03/2015,NO ENTRY/NO PRO,,,,,,,,"The proposed project is demolition of a 1,800-gsf gas station and construction of a 5-story 50,141-gsf mixed use residential structure with 18 dwelling units, 22 parking spaces, and two ground-floor retail units at the corner of Valencia and 20th Streets",,,,,True,true,08/11/2005,2015-03-03,,,"(37.758507299999998, -122.421269)",,,45-X,,,,,Mixres,2015-03-03,CONSTRUCTION,,,0.0,,,,,0.0,0.0,0.0,Mission,,,,4705.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2014_Quarter_4.csv,,,,0.0,0.0,,,,,,,,APPROVED (No K,05/26/2011,,,,"('2011-05-26', '2011-05-26', '2011-05-26', '2011-05-26', '2011-05-26', '2011-05-26', '2011-05-26', '2011-05-26', '2014-07-01', '2014-09-18', '2015-03-03')",0.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",APARTMENTS,4,2014,4705.0,,,,,4705.0,,10-19,Construction,CASE TRACKING,Tuija Catalano,,,899 Valencia St,,,,,,,4705.0,,,,18.0,18.0,0.0,0.0,,,,,37.7585073,-122.421269,,,Neighborhood Commercial,,NCT,,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT
14498,14498,,,,3252 19TH ST,,,,,0.0,0.0,,,APN 3591025,2014-12-22,BP FILED,,,201412224267.0,,,,,0.0,0.0,0.0,,Mission,,,,,,$750000.00,,,,,,,,"VERTICAL ADDITION OF TWO (2) STORIES TO (E) TWO STORY STRUCTURE, RENOVATE (E) WAREHOUSE/OFFICE W/ (N",,,,Mission,URBAN MIXED USE,,,,0.0,,2014-12-22,12/22/2014,,,,,58-X,,0.0,0.0,0.0,Resident,2014-12-22,BP FILED,"(37.7606387353, -122.416109)",,,,0.0,0.0,0.0,,,,Mission,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,Mission (EN),,,,,,,,,,,,"('2014-12-22', '2014-12-22', '2014-12-22')",0.0,"('BP FILED', 'BP FILED', 'BP FILED')",1 FAMILY DWELLING,1,2016,,,0.0,0.0,0.0,,,,,,,,,,,,SUPERVISORIAL DISTRICT 9,,,,,,,,1.0,1.0,,,,0.0,0.0,0.0,37.7606387353,-122.416109,,UMU,,,,,
14429,14429,,,,2909 BUSH ST,,,,,0.0,0.0,,,APN 1055021,2014-01-20,PL APPROVED,,,,,2013.0129,,,0.0,0.0,0.0,,Presidio Heights,Jeremy Paul,,,415-552-1888,,$19000.00,,,,,,,,,,,,Richmond,"RESIDENTIAL- HOUSE, THREE FAMILY",,,,-1.0,,2014-01-20,02/05/2013,,,,,40-X,,0.0,0.0,0.0,Resident,2014-01-20,PL APPROVED,"(37.7850790243, -122.445523)",,,,0.0,0.0,0.0,,,,Western Addition,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,,,KBURNS,,,,,,,Rear yard & parking variance to expand existing rear cottage and create 2nd dwelling unit,,,"('2014-01-20', '2014-01-20', '2014-01-20')",0.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED')",,1,2016,,,0.0,0.0,0.0,,,,,,Jeremy Paul,,,,,,SUPERVISORIAL DISTRICT 2,,,,,,,,2.0,1.0,,,,0.0,0.0,0.0,37.785079024299996,-122.445523,,RH-3,,,,,
14977,14977,,,,935-965 MARKET ST,,,,,0.0,0.0,,MARKET STREET PLACE,APN 3704071,2016-03-18,CONSTRUCTION,,,201011084497.0,,2008.0217,,,0.0,0.0,0.0,,South of Market,Reuben &,,,415 567-9,,$14800000.00,,,,,,,,,,,,Downtown,DOWNTOWN- GENERAL,,,,-1.0,,2016-03-18,02/22/2008,,,,,120-X,,0.0,0.0,0.0,Retail/Ent,2016-03-18,CONSTRUCTION,"(37.7827027177, -122.408998)",,,,0.0,0.0,0.0,,,,South of Market,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,Central SoMa; Downtown,,RDEAN,,,,,,,"Section 309 Review Required with one exception (freight loading) request. Conditional Use Authorization request to exceed allowable accessory parking per Section 303, 157 and 158.  Variances requested per Section 102.11 to allow modification of gross flo",,,"('2015-11-30', '2016-03-18')",0.0,"('CONSTRUCTION', 'CONSTRUCTION')",,1,2016,,,0.0,253128.0,253128.0,,,,,,DWI Devel,,,,,,SUPERVISORIAL DISTRICT 6,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,37.7827027177,-122.408998,,C-3-G,,,,,
1398,1398,,,,842 MOULTRIE ST,,,,,,,,,5810009,2007-10-19,BP ISSUED,,5810,,,,,,,,,,Bernal Heights,,645 Harrison Street # 101,"San Francisco, CA  94107",,415 777-3150,,,,,13-Jan-06,,200601132102,"TO ERECT 3 STORIES, SINGLE FAMILY RESIDENCE.",,,,,,,,,,-1,,2007-10-19,13-Jan-06,Matthew Laughlin 415 777-3150,,,,40-X,,,,,Resident,2007-10-19,BP ISSUED,"842 Moultrie St
(37.734349999999999, -122.41637299999999)",009,,,,,,,,,Bernal Heights,0.0,1.0,,,,,,,,,2578.0,,,,,data/raw/San_Francisco_Development_Pipeline_2012_Quarter_2.csv,,,,,,,,,13-Apr-07,2006.0572,Relocation of pre-1900 812 sf cottage. Construct 2252sf sf home with 2 car parking.,,,,,,,"('2007-10-19', '2007-10-19')",0.0,"('BP ISSUED', 'BP ISSUED')",,2,2012,,,,,,,,,BP Approved/Issued/Re-Instated,,,Veverka Architects,Matthew Laughlin,,,,,,,,,0.0,,87.0,2.0,,,,,,,,37.73435,-122.416373,,RH-1,,Residential,,RH-1,
206,206,,,,470 08TH AV,,,,,,,,,1537027,2006-09-18,BP FILED,,1537,,,,,,,,,,Inner Richmond,,,,,,,0.0,,,09/18/2006 07:00:00 AM +0000,200609182560,,"REAR, FRONT & VERTICAL ADDITION TO EXISTING BUILDING INCLUDING ALTERATIONS TO EXISTING BUILDING PORTIONS TO REMAIN. ELECTGRICAL & PLUMBING BY SEPERATE PERMIT.",,,,,,,,,,,,2006-09-18,,,,,,40-X,,,,,Resident,2006-09-18,BP FILED,"470 08th Av
(37.779622, -122.466156)",027,,0.0,,,,,,,Richmond,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,data/raw/San_Francisco_Development_Pipeline_2012_Quarter_1.csv,,,,,,,,,04/02/2007 07:00:00 AM +0000,,"Addition and alteration to existing three unit building built in 1907.  Addition to front, rear and vertically.",,,,,,0.0,"('2006-09-18', '2006-09-18', '2006-09-18', '2006-09-18', '2006-09-18', '2006-09-18', '2006-09-18', '2006-09-18', '2006-09-18', '2006-09-18')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",,1,2012,,0.0,,,,,3022.0,,,,,,,,BP Filed,,1.0,,285.0,,,0.0,,,3.0,,,,0.0,,,,37.779621999999996,-122.46615600000001,,RM-1,,Residential,,RM-1,
14024,14024,,,,1967 HAYES ST,,,,,0.0,0.0,,,APN 1210031,2015-04-15,BP FILED,,,201504153723.0,,,,,0.0,0.0,0.0,,Lone Mountain/USF,,,,,,$50000.00,,,,,,,,TO COMPLY WITH NOV# 201527031. DEVEOP GROUND FLOOR ROOMS INTO LEGAL RESIDENTIAL UNIT. CHANGE OCCUPAN,,,,Western Addition,"RESIDENTIAL- HOUSE, THREE FAMILY",,,,0.0,,2015-04-15,04/15/2015,,,,,40-X,,0.0,0.0,0.0,Resident,2015-04-15,BP FILED,"(37.7733128308, -122.448755)",,,,0.0,0.0,0.0,,,,Haight Ashbury,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,,,,,,,,,,,,,"('2015-04-15', '2015-04-15', '2015-04-15')",0.0,"('BP FILED', 'BP FILED', 'BP FILED')",APARTMENTS,1,2016,,,0.0,0.0,0.0,,,,,,,,,,,,SUPERVISORIAL DISTRICT 5,,,,,,,,3.0,1.0,,,,0.0,0.0,0.0,37.7733128308,-122.448755,,RH-3,,,,,
11218,11218,,,,327 CAPITOL AVE,,,,,0.0,,0.0,,APN 7106052,2015-01-03,PL FILED,,,,,2015-000060PRJ,,3052.0,,,,0.0,Oceanview/Merced/Ingleside,,,,4155521888,,,,,,,,,,,01/01/42007 12:00:00 AM,FILED,Change of use from a religious facility to a child care facility for up to 90 children ages 2.5-6 years old.,,"NEIGHBORHOOD COMMERCIAL, CLUSTER",D11,,,0,01/03/2015,2015-01-03,,,"(37.71355321070, -122.45930274800)",,40-X,,,,,,CIE,2015-01-03,PL FILED,,,0.0,,,,,0.0,0.0,0.0,Ocean View,,,,0.0,,,,,,R,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_2.csv,0.0,0.0,,0.0,0.0,,,APERRY,,,,,,,,Ingleside,,"('2015-01-03',)",0.0,"('PL FILED',)",,2,2015,0.0,,,,,0.0,,,,CASE TRACKING,Quickdraw Permit Consulting,,,,,,,,,,3052.0,,,,0.0,0.0,0.0,0.0,,,,,37.7135532107,-122.459302748,,,,,NC-1,,
12192,12192,,,,94114,,,,,0.0,,0.0,,APN 2614048,2014-02-25,BP FILED,,,201402259241.0,,2014.0445,,0.0,,,,0.0,Castro/Upper Market,Warner Schmalz,,,415-252-7063,,,,,,,,,,DEMOLISH 2 STORIES SINGLE FAMILY RESIDENCE.,,,,,,,0.0,,,,2014-02-25,02/25/2014,,,40-X,,,,,,,Resident,2014-02-25,BP FILED,"94114
(37.76567209740, -122.44026438500)",,0.0,,,,,0.0,0.0,0.0,Castro/Upper Market,,,,0.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_3.csv,,,,0.0,0.0,,Buena Vista,,,,,,,,Discretionary Review for the demolition and reconstruction project to remove one existing dwelling unit and replace it with a two unit structure.,,,"('2014-02-25',)",0.0,"('BP FILED',)",,3,2015,0.0,,,,,0.0,,,,CASE TRACKING,Andrew J Greene,,,,,,,SUPERVISORIAL DISTRICT 8,,,0.0,,,,2.0,1.0,0.0,0.0,,,,,37.7656720974,-122.440264385,"RESIDENTIAL- HOUSE, TWO FAMILY",,,,RH-2,,
11719,11719,,,,94102,,,,,0.0,,0.0,,APN 0792007A,2015-07-07,BP FILED,,,201507070775.0,,2015-009186PRJ,,0.0,,,,0.0,Hayes Valley,,,,,,,,,,,,,,A REMODEL OF THE 1ST FLOOR TO INCLUDE 2 NEW STUDIO UNITS TO THE REAR. RELOCATION OF THE BOILER ROOM,,,,,,,0.0,,,,2015-07-07,07/07/2015,,,65-X,,,,,,,Resident,2015-07-07,BP FILED,"94102
(37.77857647200, -122.42244381000)",,0.0,,,,,0.0,0.0,0.0,Downtown/Civic Center,,,,0.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_3.csv,,,,0.0,0.0,Market and Octavia,Western Addition,,,,,,,,,,,"('2015-07-07',)",0.0,"('BP FILED',)",LENDING INSTITUTION,3,2015,0.0,,,,,0.0,,,,PERMIT TRACKING,,,,,,,,SUPERVISORIAL DISTRICT 5,,,0.0,,,,31.0,2.0,0.0,0.0,,,,,37.778576472,-122.42244381,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,,,,NCT-3,,
10238,10238,,,,650 ILLINOIS ST,,,,,0.0,,0.0,,APN 3994001C,2014-06-05,PL APPROVED,,,,,2010.0726,,0.0,,,,0.0,Potrero Hill,,,,,,,,,,,,,,,01/01/41795 12:00:00 AM,Approved,"Demolition of existing structures and the construction of a new 6-story, 65.4-ft-tall building with 71,225 sf of residential (97 dwellings) and 45 off-street parking spaces.",,URBAN MIXED USE,D10,,,-1,08/23/2010,2014-06-05,,,"(37.76378560360, -122.38837482800)",,68-X,,,,,,Resident,2014-06-05,PL APPROVED,,,0.0,,,,,0.0,0.0,0.0,Potrero Hill,,,,-15349.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_2.csv,45.0,45.0,,0.0,-15349.0,Central Waterfront (EN),,DVU,,,,,,,,South of Market,,"('2014-06-05',)",0.0,"('PL APPROVED',)",,2,2015,0.0,,,,,0.0,,,,manual,,,,,,,,,,,0.0,,,,97.0,97.0,0.0,0.0,,,,,37.7637856036,-122.388374828,,,,,UMU,,
14412,14412,,,,274 SILVER AV,,,,,0.0,0.0,,,APN 6800041,2015-10-27,BP FILED,,,201510270841.0,,,,,0.0,0.0,0.0,,Outer Mission,,,,,,$12000.00,,,,,,,,"TO LEGALIZE IN-LAW DWELLING UNIT UNDER ORDINANCE NO# 43-14. LEGALIZE KITCHEN WITH COUNTER, CABINET,",,,,South Central,"RESIDENTIAL- HOUSE, ONE FAMILY",,,,0.0,,2015-10-27,10/27/2015,,,,,40-X,,0.0,0.0,0.0,Resident,2015-10-27,BP FILED,"(37.7289006114, -122.432038)",,,,0.0,0.0,0.0,,,,Outer Mission,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,,,,,,,,,,,,,"('2015-10-27', '2015-10-27')",0.0,"('BP FILED', 'BP FILED')",2 FAMILY DWELLING,1,2016,,,0.0,0.0,0.0,,,,,,,,,,,,SUPERVISORIAL DISTRICT 11,,,,,,,,2.0,1.0,,,,0.0,0.0,0.0,37.7289006114,-122.43203799999999,,RH-1,,,,,
