APN,NAMEADDR,BESTSTAT,BESTDATE,CASENO,BPAPPLNO,PROPUSE,NEW_REHAB,Alias,LANDUSE,DESCRIPT,DBIDESC,UNITS,UNITSNET,AFFORDABLE,AFFORDABLENET,EntitlementStatus,PARKING,PARKINGNET,TOTAL_GSF,NET_GSF,CIE,CIENET,MED,MEDNET,MIPS,MIPSNET,PDR,PDRNET,RET,RETNET,VISIT,VISITNET,FILEDATE,PLANNER,SPONSOR,CONTACT,CONTACTPH,DECISION,DECDATE,ACTION,ACTDATE,SOURCE,SupeDistrict,PLANAREA,PLNDISTRICT,NEIGHBORHOOD,ZONING_SIM,DISTRICTNAME,HEIGHT_LIMIT,X,Y,geography
APN 4224158,1510 25TH ST,BP ISSUED,08/19/2011,2009.0113,201009140824,1 FAMILY DWELLING,N,,Resident,Construction of new dwelling unit above new garage structure.  Subject lot is 50 feet by 100 feet.  2 existing dwelling units on site.,ERECT 2 STORIES OF ONE SINGLE FAMILY,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,ISSUED,01/01/40774 12:00:00 AM,PERMIT TRACKING,D10,Showplace Square/Potrero Hill (EN),South of Market,Potrero Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,-122.394124165,37.7526811564,"(37.75268115640, -122.39412416500)"
APN 0550004,2237 POLK ST,BP FILED,07/02/2007,,200707025741,2 FAMILY DWELLING,R,,Resident,,ADD 1 STORY TO MAKE 1 ADDITIONAL RESIDENTIAL UNIT. ADD STRUCUTRAL BRACING ON GROUND FLOOR RESTAURANT,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D3,,Northeast,Russian Hill,NCD,POLK STREET NEIGHBORHOOD COMMERCIAL,65-A,-122.422348108,37.7974861207,"(37.79748612070, -122.42234810800)"
APN 6255006,62 SCHWERIN ST,CONSTRUCTION,08/19/2011,,201006225046,1 FAMILY DWELLING,N,,Resident,,"TO ERECT 2 STORIES, SINGLE FAMILY DWELLING UNIT.",1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,ROUGH FRAME,01/01/40774 12:00:00 AM,PERMIT TRACKING,D10,,South Central,Visitacion Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,-122.410774268,37.7126301814,"(37.71263018140, -122.41077426800)"
APN 5305010,1734 NEWCOMB AV,BP FILED,09/24/2010,2010.0444,201009241613,,N,,Resident,Addition of a dwelling unit in the basement of an existing single family residence.,CREATING AN IN-LAW UNIT. REMOVE (E) BSMT STAIRS&CHIMNEY.REPAIR 2/FL USING MATCHING MATERIAL.REPAIR 3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/10/2010,BFU,Horace Johnson,Horace Johnson,415-573-8334,,,,,CASE TRACKING,D10,Bayview Hunters Point,South Bayshore,Bayview,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.392156239,37.7368796109,"(37.73687961090, -122.39215623900)"
APN 6272018,4847 MISSION ST,CONSTRUCTION,02/25/2009,2007.1171,200801112324,2 FAMILY DWELLING,R,,Resident,,Revision to PA# 2001/05/30/0305 to convert 2nd floor family rm. to kitchen and create a new unit. Re,2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,FORMS,01/01/39869 12:00:00 AM,PERMIT TRACKING,D11,,South Central,Excelsior,NCD,EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT,40-X,-122.437474235,37.7207052437,"(37.72070524370, -122.43747423500)"
APN 1564013,571 21ST AV,BP FILED,05/29/2013,2012.0482,201305298089,,N,,Resident,"Add an vertical addition, convert existing attic to new 3rd story",VERTICAL ADDITION. (N) 3RD FLOOR-CONVERT SINGLE FAMILY HOUSE INTO 2 UNITS. 3RD FL CONSIST OF 3 BEDRO,2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/10/2012,ASTARR,Tony Lee,Tony Lee,415.640.6474,APPR/WC,01/01/41318 12:00:00 AM,,,CASE TRACKING,D1,,Richmond,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.480546031,37.7771025622,"(37.77710256220, -122.48054603100)"
APN 4282A023,2207 25TH ST,CONSTRUCTION,03/12/2013,2010.0231,201210091512,,N,,Resident,Legalize existing structure in required rear yard.,"REAR BLDG. TO COMPLY WITH C-201033584. REMODEL REAR COTTAGE, LEGALIZE THE USE AS DWELLING UNIT. TOTA",2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/01/2010,EJACKSON,James Karrick,James Karrick,415-816-4186,APPR/WC,01/01/40464 12:00:00 AM,SHEAR WALL,01/01/41345 12:00:00 AM,CASE TRACKING,D10,Showplace Square/Potrero Hill (EN),South of Market,Potrero Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.40079901,37.7518232176,"(37.75182321760, -122.40079901000)"
APN 0491020,3342 STEINER ST,BP FILED,01/17/2008,,200801172733,1 FAMILY DWELLING,R,,Resident,,Interior remodel of (E) second floor. Convert (E) office use to residential (1 unit).,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D2,,Marina,Marina,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",40-X,-122.437534692,37.8003130052,"(37.80031300520, -122.43753469200)"
APN 2821023,83 PANORAMA DR,CONSTRUCTION,03/17/2015,,200711077576,1 FAMILY DWELLING,N,,Resident,,ERECT A NEW 2 STORY SINGLE FAMILY DWELLING.,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,"LATH, EXTERIOR",01/01/42080 12:00:00 AM,PERMIT TRACKING,D7,,Inner Sunset,Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,-122.450982226,37.7469380522,"(37.74693805220, -122.45098222600)"
APN 5918001,1248 SILVER AV,BP FILED,05/06/2010,,201005061831,2 FAMILY DWELLING,R,,Resident,,Site permit: Build 2nd. residential unit; ground level to add 1-more parking space & 1/2 bath. 2nd.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D9,,South Central,Excelsior,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.411437537,37.7303383077,"(37.73033830770, -122.41143753700)"
APN 0634016A,2695 SACRAMENTO ST,PL APPROVED,11/29/2010,2010.0516,,,N,,Resident,Parking Variance to convert a LCU into a residential unit,,2,1,0,0,-1,0,0,0,-1000,0,0,0,0,0,0,0,0,0,-1000,0,0,06/30/2010,ASTARR,Jill Tardy,Jill Tardy,415-381-1183,Approved,01/01/40511 12:00:00 AM,,,CASE TRACKING,D2,,Marina,Pacific Heights,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,-122.437106314,37.789245032,"(37.78924503200, -122.43710631400)"
APN 6593022,1513-1517 CHURCH ST,PL FILED,06/28/2012,2012.0824,,,N,,Mixres,Variance request to the rear yard requirement and for off-street parking.,,2,1,0,0,0,0,0,1671,716,0,0,0,0,0,0,0,0,1671,716,0,0,06/28/2012,DVU,Gang Wu Cheung,Cherine Ang,642-7722,,,,,CASE TRACKING,D8,,Central,Noe Valley,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",40-X,-122.426658496,37.7465793423,"(37.74657934230, -122.42665849600)"
APN 6592034,389 27TH ST,CONSTRUCTION,10/29/2007,2007.1145,200606073385,2 FAMILY DWELLING,,,Resident,Renovate and enlarge existing garage at the rear of the property to accommodate a car lift within.,"ADD 3RD FLOOR TO BLDG. RECONFIGURE INTERIOR WALLS, DOORS, AND WINDOWS.",2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/04/2007,,,,,Approved,01/01/39547 12:00:00 AM,SHEETROCK NAILI,01/01/39384 12:00:00 AM,PERMIT TRACKING,D8,,Central,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.428712195,37.7465576502,"(37.74655765020, -122.42871219500)"
APN 6593006,230 DUNCAN ST,CONSTRUCTION,02/05/2008,2006.0274,200602073988,2 FAMILY DWELLING,,,Resident,NEW CONSTRUCTION FOR A MANDATORY DR FOR A SFR,"ERECT 4 STORIES, 2 DWELLING UNITS, TYPE 5 BUILDING.",2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/16/2006,CJAROSLA,HARVEY HACKER,HARVEY HACKER,957-0579,,,REINFORCING STE,01/01/39483 12:00:00 AM,CASE TRACKING,D8,,Central,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.425559622,37.7464244615,"(37.74642446150, -122.42555962200)"
APN 5577011,191 BREWSTER ST,CONSTRUCTION,06/18/2015,2009.1018,200609253193,1 FAMILY DWELLING,,,Resident,"New 2,811 sqft single-family residence on vacant lot.","TO ERECT 4 STORIES, SINGLE FAMILY RESIDENCE.",1,1,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/28/2009,,,,,CEQA,,"FORMS, PARTIAL",01/01/42173 12:00:00 AM,PERMIT TRACKING,D9,,Bernal Heights,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,-122.407173663,37.7436113739,"(37.74361137390, -122.40717366300)"
APN 5577010,193 BREWSTER ST,CONSTRUCTION,07/13/2015,2010.0858,200609253192,1 FAMILY DWELLING,,,Resident,,"TO ERECT 4 STORIES, SINGLE FAMILY RESIDENCE.",1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,REINFORCING STE,01/01/42198 12:00:00 AM,PERMIT TRACKING,D9,,Bernal Heights,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,-122.407198514,37.7435484847,"(37.74354848470, -122.40719851400)"
APN 3611062,658-666 SHOTWELL ST,PL APPROVED,10/10/2013,2010.0101,,,N,,Mixres,Expand residential care facility from 29 to 30 rooms w/in existing building.  Construct new single-family residence.,,1,1,0,0,-1,0,0,2757,2757,2757,2757,0,0,0,0,0,0,0,0,0,0,02/18/2010,EOROPEZA,Larry Mateo,C. Steven Swason,415.297.1946,Approved,01/01/41557 12:00:00 AM,,,CASE TRACKING,D9,Mission (EN),Mission,Mission,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,-122.416001055,37.7578281845,"(37.75782818450, -122.41600105500)"
APN 1219008,1122 PAGE ST,BP ISSUED,05/31/2011,2010.0114,201003037492,,N,,Resident,ADD 1 ADDITIONAL UNIT.  4 UNITS TOTAL.,,4,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/23/2010,GCABRERO,Troy Kashanipour,Troy Kashanipour,415.431.0869,Approved,01/01/40359 12:00:00 AM,ISSUED,01/01/40694 12:00:00 AM,CASE TRACKING,D5,,Buena Vista,Haight Ashbury,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",40-X,-122.439365072,37.7721654228,"(37.77216542280, -122.43936507200)"
APN 0797019,890 GROVE ST,CONSTRUCTION,05/27/2014,2007.1486,201003107932,,N,,Resident,Thrid floor addition of a third unit on an existing 2-unit residential building.,,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/16/2010,SPERDUE,Mark Topetcher,Mark Topetcher,359-9997,CEQA,,SHEETROCK NAILI,01/01/41786 12:00:00 AM,CASE TRACKING,D5,,Western Addition,Western Addition,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",50-X,-122.431227691,37.776980966,"(37.77698096600, -122.43122769100)"
APN 3618071,990 GUERRERO ST,CONSTRUCTION,03/07/2012,2010.0318,201002035833,APARTMENTS,R,,Resident,"1. Add a dwelling unit at the ground floor, and to add a parking stacker.
2. Remove a portion of the existing hipped roof to accomodate a roof terrace.
3.  Add four dormers and two skylights.",CONSTRUCT ADDITIONAL DWELLING UNITS @ EXISTING BASEMENT,3,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/03/2010,,,,,Approved,01/01/40519 12:00:00 AM,SHEETROCK NAILI,01/01/40975 12:00:00 AM,PERMIT TRACKING,D8,,Mission,Mission,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,-122.423547247,37.755363788,"(37.75536378800, -122.42354724700)"
APN 2372024A,3350 TARAVAL ST,BP FILED,03/18/2010,2010.0287,201003188484,1 FAMILY DWELLING,R,,Resident,Legalize conversion of existing detached garage structure into a dwelling unit.  Project requires a rear yard variance because existing garage is located within the required rear yard.   Parking variance also required.,legalized (e) unpermitted remodeling of (e) garage into a residential in-law or secondary unit as pa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/22/2010,,,,,,,,,PERMIT TRACKING,D4,,Outer Sunset,Parkside,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,-122.502317754,37.7421253607,"(37.74212536070, -122.50231775400)"
APN 4172006,2538 03RD ST,CONSTRUCTION,05/18/2015,2013.0725,201209048832,,N,,Resident,Variance request to the rear yard requirements of P.C. Sec. 134.,CHANGE OF USE. RENOVATING (E) STRUCTURE INTO SINGLE FAMILY DWELLING WITHOUT ALTERING (E) BUILDING EN,1,1,0,0,-1,1,1,0,-2051,0,0,0,0,0,0,0,-2051,0,0,0,0,06/05/2013,BBENDIX,Lev Bereznycky,Lev Bereznycky,415-601-1578,,,NO ENTRY/NO PRO,01/01/42142 12:00:00 AM,CASE TRACKING,D10,Central Waterfront (EN),South of Market,Potrero Hill,NCT-2,NEIGHBORHOOD COMMERCIAL TRANSIT-2,45-X,-122.388563413,37.7573913569,"(37.75739135690, -122.38856341300)"
APN 0226007,605 KEARNY ST,CONSTRUCTION,08/17/2012,2001.0249,201207104487,2 FAMILY DWELLING,R,,Resident,,CHANGE OF USE FROM R3 (1 unit) to R3 (2 units).  (ref. 07/02/2012 email from planning dept.) Propose,2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,"ROUGH FRAME, PA",01/01/41138 12:00:00 AM,PERMIT TRACKING,D3,Chinatown,Northeast,Chinatown,CCB,CHINATOWN-COMMUNITY BUSINESS,50-N,-122.404824151,37.7937095167,"(37.79370951670, -122.40482415100)"
APN 1604003I,779 40TH AV,BP ISSUED,07/21/2015,,201502178476,2 FAMILY DWELLING,R,,Resident,,LEGALIZATION OF DWELLING UNIT. ORDINANCE: 43-14. TO PROVIDE BICYCLE PARKING. TO INSTALL SELF-CLOSING,2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,ISSUED,01/01/42206 12:00:00 AM,PERMIT TRACKING,D1,,Richmond,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.500709291,37.7741067083,"(37.77410670830, -122.50070929100)"
APN 2752024,331 COLLINGWOOD ST,BP FILED,10/10/2014,,201410108695,2 FAMILY DWELLING,R,,Resident,,VERTICAL & HORIZONTAL ADDITION. LEGALIZE (E) 2ND DWELLING.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D8,,Central,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.435437068,37.7570741082,"(37.75707410820, -122.43543706800)"
APN 1603049,4025 BALBOA ST,BP FILED,02/04/2015,,201502047488,2 FAMILY DWELLING,R,,Resident,,"LEGALIZE AS-BUILD DWELLING UNIT AT REAR BLDG PER PLAN. CONSISTS OF 2 BEDROOMS, LIVING ROOM, 3 BATHRO",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D1,,Richmond,Outer Richmond,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",40-X,-122.502008175,37.7752594637,"(37.77525946370, -122.50200817500)"
APN 1419007,239 14TH AV,BP FILED,01/12/2015,,201501125418,2 FAMILY DWELLING,R,,Resident,,VERTICAL & HORIZONTAL ADDITION. CONVERT GROUND FLR LIVING SPACE TO A NEW UNIT INCLUDING THREE BEDROO,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D1,,Richmond,Inner Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.473406135,37.783580226,"(37.78358022600, -122.47340613500)"
APN 1772004K,1341 17TH AV,BP APPROVED,07/21/2015,,201503100444,2 FAMILY DWELLING,R,,Resident,,LEGALIZE UNIT ON GROUND FLOOR PER NO 43-14,2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,APPROVED,01/01/42206 12:00:00 AM,PERMIT TRACKING,D4,,Inner Sunset,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.475256598,37.7628419822,"(37.76284198220, -122.47525659800)"
APN 1582001B,611 39TH AV,BP FILED,03/06/2015,,201503060214,2 FAMILY DWELLING,R,,Resident,,"GROUND FL PARTIAL GARAGE AREA CONVERSION TO IN-LAW. FRONT ATTIC ROOF PORTION (15'-0"") SETBACK. ADD D",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D1,,Richmond,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.499820289,37.7771862705,"(37.77718627050, -122.49982028900)"
APN 1758046,1308 04TH AV,BP FILED,03/25/2015,,201503251826,APARTMENTS,R,,Resident,,LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT A PERMIT. REFERENCE BPA 2006-04-19-9300.  NEW HIGHT,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D5,,Inner Sunset,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.46065809,37.7640745401,"(37.76407454010, -122.46065809000)"
APN 1719012,1200 32ND AV,BP FILED,01/15/2015,,201501155871,2 FAMILY DWELLING,R,,Resident,,LEGALIZATION UNIT PER ORDINANCE 43-14. LEGALIZE AS-BUILD KITCHEN ON 1ST FLOOR PER PLAN AS 2ND UNIT.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D4,,Outer Sunset,Outer Sunset,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",40-X,-122.490897555,37.7646747841,"(37.76467478410, -122.49089755500)"
APN 6087025,427 LISBON ST,BP FILED,03/16/2015,,201503160972,2 FAMILY DWELLING,R,,Resident,,"LEGALIZE IN-LAW UNIT ON 1ST FLOOR AS PER ORDINANCE 43-14. 1 BEDROOM, 1 BATH & 1 KITCHEN. REPLACE PAR",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D11,,South Central,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,-122.433699466,37.7214246873,"(37.72142468730, -122.43369946600)"
APN 6484024,1160 PRAGUE ST,BP ISSUED,06/22/2015,,201503302274,2 FAMILY DWELLING,R,,Resident,,"LEGALIZE (E) UNAUTHORIZED UNIT PER SF ORDINANCE#43-14. ADD INSULATION, VERIFY ELECTRICAL GFI, ALTER",2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,ISSUED,01/01/42177 12:00:00 AM,PERMIT TRACKING,D11,,South Central,Crocker Amazon,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",40-X,-122.439087367,37.7102713545,"(37.71027135450, -122.43908736700)"
APN 1549034,550 07TH AV,BP FILED,03/19/2015,,201503191389,2 FAMILY DWELLING,R,,Resident,,"CONSTRUCT NEW 3 STORY REAR HORIZONTAL WITH NEW MASTER BEDROOM. ADD NEW RESIDENTIAL  UNIT, ADD 1 NEW",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D1,,Richmond,Inner Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.464818423,37.7780985795,"(37.77809857950, -122.46481842300)"
APN 1667024,4820 FULTON ST,BP FILED,03/12/2015,,201503120626,2 FAMILY DWELLING,R,,Resident,,CONVERT(E)GROUND FL GARAGE & STORAGE TO GARAGE & SEPARATE DWELLING UNIT BY BLDG(E)INTERIOR GARAGE SP,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D1,,Richmond,Outer Richmond,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,-122.483587198,37.7728488321,"(37.77284883210, -122.48358719800)"
APN 1569015,2514 BALBOA ST,BP REINSTATED,02/04/2015,,201501286899,2 FAMILY DWELLING,R,,Resident,,"VERTICAL & HORIZONTAL ADDITION, CHANGE FROM SINGLE FAMILY TO 2 RESIDENTIAL UNIT BUILDING.",2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,REINSTATED,01/01/42039 12:00:00 AM,PERMIT TRACKING,D1,,Richmond,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.485979198,37.7764810837,"(37.77648108370, -122.48597919800)"
APN 0829024,524 HICKORY ST,BP FILED,01/29/2015,,201501297021,1 FAMILY DWELLING,N,,Resident,,CONSTRUCT (N) 3-STORY SINGLE FAMILY RESIDENTIAL BUILDING.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D5,,Western Addition,Western Addition,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,-122.428592539,37.7749492322,"(37.77494923220, -122.42859253900)"
APN 0753010,1594 GOLDEN GATE AV,BP FILED,02/24/2015,,201502249184,APARTMENTS,R,,Resident,,"CONVERT COMMERCIAL UNIT INTO RESIDENTIAL APARTMENT. CONERSION INCLUDES: 1 BEDROOM, 1 BATHROOM, 1 KIT",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D5,,Western Addition,Western Addition,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,-122.436768346,37.7792126128,"(37.77921261280, -122.43676834600)"
APN 0793009,428 GROVE ST,BP ISSUED,07/24/2015,,201503241678,2 FAMILY DWELLING,R,,Resident,,"TO LEGALIZE THE (E) IN-LAW INTO 2 FAMILY RESIDENCE. ORDINANCE# 43-14. 1 BEDROOM, 1 BATH & 1 KITCHEN",2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,ISSUED,01/01/42209 12:00:00 AM,PERMIT TRACKING,D5,Market and Octavia,Western Addition,Western Addition,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,40-X,-122.423747771,37.7779325166,"(37.77793251660, -122.42374777100)"
APN 3621030,895 NOE ST,CONSTRUCTION,07/27/2015,,201501145767,2 FAMILY DWELLING,R,,Resident,,REMODEL & ENLARGE BASEMENT TO CREATE NEW LIVING UNIT W/ KITCHEN & BATH. NEW DORMER AT TOP FLOOR,2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,"FORMS, PARTIAL",01/01/42212 12:00:00 AM,PERMIT TRACKING,D8,,Central,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.431871189,37.7549105401,"(37.75491054010, -122.43187118900)"
APN 3726063,534 - 536 Natoma Street,BP FILED,02/12/2015,2015-001595PRJ,201502128193,APARTMENTS,R,,Resident,Replacement and reconfiguration of a rear stair and the creation of a new dwelling unit within the existing building envelope.,REMODEL GROUND FLOOR TO BE AN ADDITIONAL UNIT. RECONSTRUCT EXISTING REAR YARD STAIR IN NEW CONFIGURATION . MINOR FACADE & UPPER LEVEL DWELLING UNIT RENOVATIONS. IN NEW UNIT THERE WILL BE FULL KITCHEN & BATH. INTERIM CONTROL.,5,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/12/2015,JSPEIRS,Okamoto Saijo Architecture,,4157882118,Approved,01/01/42194 12:00:00 AM,,,CASE TRACKING,D6,East SoMa (EN); South of Market,Downtown,South of Market,RED,SOUTH OF MARKET RESIDENTIAL ENCLAVE,45-X,-122.40864406,37.779637704,"(37.77963770400, -122.40864406000)"
APN 3726062,532 NATOMA ST,BP FILED,03/09/2015,,201503090286,1 FAMILY DWELLING,R,,Resident,,"CHANGE OF USE TO LEGALIZE (E) DWELLING UNITS.  REARRANGE LIVING AREA - ADD BEDROOMS, FAMILY, BATHROO",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D6,East SoMa (EN); South of Market,Downtown,South of Market,RED,SOUTH OF MARKET RESIDENTIAL ENCLAVE,45-X,-122.408582212,37.7796857585,"(37.77968575850, -122.40858221200)"
APN 3596025,267 SAN CARLOS ST,BP FILED,03/31/2015,,201503312380,APARTMENTS,R,,Resident,,LEGALIZATION OF IN LAW DWELLING UNIT AT GROUND/BASEMENT. RENOVATE (E)  DWELLING UNIT TO COMPLY WITH,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D9,Mission (EN),Mission,Mission,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,45-X,-122.419695882,37.7591597162,"(37.75915971620, -122.41969588200)"
APN 0927024,3336 BRODERICK ST,BP FILED,01/07/2015,,201501075157,APARTMENTS,R,,Resident,,LEGALIZATION OF IN-LAW UNIT.,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D2,,Marina,Marina,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,-122.444491293,37.801268526,"(37.80126852600, -122.44449129300)"
APN 5305001,1701 MCKINNON AVE,BP APPROVED,08/21/2014,2015-001505PRJ,200806023360,1 FAMILY DWELLING,N,,Resident,Subdivide existing lot to permit new construction on separate lot of another single family dwelling.,TO ERECT A NEW 3 STORY ONE FAMILY DWELLING BUILDING.,2,1,0,0,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/11/2015,JDISALVO,,ALGHAZALI ABDULSALAM HAMOOD,,FILED,01/01/42046 12:00:00 AM,APPROVED,01/01/41872 12:00:00 AM,CASE TRACKING,D10,Bayview Hunters Point,South Bayshore,Bayview,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.391390473,37.7368266487,"(37.73682664870, -122.39139047300)"
APN 5701011,462 PRENTISS ST,BP FILED,02/12/2015,,201502128133,1 FAMILY DWELLING,N,,Resident,,"ERECT 3-STORY, TYPE 5, SINGLE FAMILY DWELLING UNITS.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D9,,Bernal Heights,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,-122.412387866,37.7374724701,"(37.73747247010, -122.41238786600)"
