NEIGHBORHOOD,APN,LANDUSE,BESTSTAT,BESTDATE,NAMEADDR,Alias,CASENO,DESCRIPT,BPAPPLNO,PROPUSE,DBIDESC,UNITS,UNITSNET,AFFORDABLE,AFFORDABLENET,TOTAL_GSF,NET_GSF,CIE,CIENET,MED,MEDNET,MIPS,MIPSNET,PDR,PDRNET,RET,RETNET,VISIT,VISITNET,FirstFiled,EntitledStatus,SPONSOR,CONTACT,CONTACTPH,PLANNER,SOURCE,SUPE_DIST,PLN_DISTRICT,PLN_AREA,HEIGHT,ZONING_SIM,ZONE_NAME,geography
Potrero Hill,APN 4040025,Resident,BP REINSTATED,09/21/2015,333 PENNSYLVANIA AV,,2013.1512,Variance request to the rear yard requirement of P.C. Sec. 134 to permit the construction of a new two-family residence on a vacant lot.,201306129341,2 FAMILY DWELLING,ERECT NEW 4-STORY TYPE 5 2-FAMILY RESIDENTIAL BUILDING,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/12/2013,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.76210030050, -122.39321934500)"
Marina,APN 0936020,Resident,CONSTRUCTION,10/08/2015,3215 SCOTT ST,,,,201410249901,APARTMENTS,CONVERT (E) 2ND FLR OFFICE/COMMERCIAL AREAS @ UNITS 3215B & 3215C TO TWO NEW RESIDENTIAL UNITS. ONE,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/24/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 2,Marina,,40-X,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE","(37.79946013610, -122.44123814400)"
Bernal Heights,APN 5626013,Resident,BP FILED,12/16/2013,3516 FOLSOM ST,,2013.1383,"Build a single family residence 2 story over basement per lot
New construction with variance to Bernal SUD parking requirement to permit tandem spaces to not be independently accessible.",201312164322,,ERECT 2-STORY TYPE V NEW SINGLE FAMILY RESIDENCE.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/05/2013,0,Fabien Lannoye,Fabien Lannoye,415-626-8868,,CASE TRACKING,SUPERVISORIAL DISTRICT 9,Bernal Heights,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.74207587850, -122.41334760000)"
Potrero Hill,APN 3983014,Resident,BP FILED,08/28/2013,153 ARKANSAS ST,,2014.1246,Mandatory Discretionary Review for the demolition of a single family dwelling to permit the reconstruction of a two family dwelling.,201308285446,2 FAMILY DWELLING,TO ERECT 2 FAMILY RESIDENTALS WITH 2 STORIES,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/28/2013,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.76422112240, -122.39831338200)"
Russian Hill,APN 0499004,Resident,BP FILED,11/18/2014,2806 VAN NESS AV,,,,201411181835,APARTMENTS,"REAR ADDITION CONST 4 STORY STRUCTURE, 1ST FL, OFFICE. 2ND FL, 1 BEDRM, 1 BATHRM, LIVING ROOM & KITC",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/18/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 2,Northeast,Van Ness Corridor,65-A,RC-3,"RESIDENTIAL- COMMERCIAL, MEDIUM DENSITY","(37.80162556970, -122.42418820800)"
Visitacion Valley,APN 6250007B,Resident,BP FILED,06/29/2015,75 LELAND AV,,,,201506290164,1 FAMILY DWELLING,"REAR BLDG - ERECT 2-STORY, TYPE 5, 1 DWELLING UNIT BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/29/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.71132733410, -122.40553838300)"
North Beach,APN 0103021,Resident,PL FILED,06/24/2013,146  JASPER PL,,2013.0846,Construction of a new two unit residential building,,,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/24/2013,0,Peter Wilson,Peter Wilson,510.543.5111,TSHEYNER,CASE TRACKING,SUPERVISORIAL DISTRICT 3,Northeast,,40-X,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY","(37.80125557920, -122.40879053800)"
Marina,APN 0519029,Resident,CONSTRUCTION,02/27/2013,3020 LAGUNA ST,,2010.0501,"New contruction of 4-story, 2-unit building.",201009271661,,"TO ERECT 4 STORIES, 2 UNITS RESIDENTIAL BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/27/2010,-1,Amir Mortazavi,Amir Mortazavi,650-400-9432,MWEINTRA,CASE TRACKING,SUPERVISORIAL DISTRICT 2,Marina,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.79919136520, -122.43062772900)"
Nob Hill,APN 0156015A,Resident,BP ISSUED,12/18/2015,151 BERNARD ST,,,,201411262632,APARTMENTS,COMPLETE REMODEL: DOING A NEW TOP FLOOR ADDING 2 NEW BALCONIES ON THE BACK OF THE BLDG TURNING THE B,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/26/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 3,Northeast,,65-A,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.79609378550, -122.41592354600)"
Ocean View,APN 7106058,Mixres,CONSTRUCTION,01/08/2016,200 BROAD ST,,08/20/2014,Demo church and build 3 story building: two dwelling units over office space and garage,200910209344,2 FAMILY DWELLING,,2,2,0,0,1496,246,0,-1250,0,0,1496,1496,0,0,0,0,0,0,06/14/2012,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,Ingleside,,40-X,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER","(37.71337698430, -122.45918317000)"
Outer Richmond,APN 1462031,Resident,BP FILED,12/18/2014,460 31ST AV,,2014-003232PRJ,,201412184051,2 FAMILY DWELLING,TO ERECT 4 STORIES OF TWO FAMILIES DWELLING,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/18/2014,0,"Gabriel Ng + Architects, Inc.",,4156828060,BBENDIX,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.78062937930, -122.49088712800)"
Ocean View,APN 7106059,Resident,CONSTRUCTION,12/21/2015,202 BROAD ST,,,,200910209343,2 FAMILY DWELLING,CONSTRUCTION OF 3-STORY TWO DWELLING UNITS.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/20/2009,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,Ingleside,,40-X,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER","(37.71337641230, -122.45928750000)"
Castro/Upper Market,APN 2750035,Resident,CONSTRUCTION,08/06/2014,311 EUREKA ST,,2009.0685,,200905047636,2 FAMILY DWELLING,TO ERECT 4 STORY 2 FAMILY DWELLING,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/04/2009,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Central,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.75712335000, -122.43760173400)"
Excelsior,APN 5880023,Resident,CONSTRUCTION,03/20/2013,2350 SAN BRUNO AV,,,,200608290811,2 FAMILY DWELLING,TO ERECT 3 STORY 2 FAMILY DWELLING BUILDING.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/29/2006,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,South Central,,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.73312262650, -122.40620658100)"
Visitacion Valley,APN 6209052,Resident,BP FILED,05/13/2015,202 TEDDY AV (AKA 468 - 488 RUTLAND),,2015-006747PRJ,"Demolish one single-family residence, subdivide into three (3) lots, and construct three (3) new single-family residences.",201505136191,,"DEMOLISH 1-STORY, TYPE V, SINGLE FAMILY DWELLING BUILDING.",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/13/2015,0,,TAM YIN KWAN,,JDISALVO,CASE TRACKING,SUPERVISORIAL DISTRICT 10,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.71482758800, -122.40655166200)"
Western Addition,APN 0856013,Resident,PL APPROVED,12/23/2015,126 LAGUNA ST,,2014.0965,"To add two dwelling units to an existing five-unit multifamily building.  The units will be located within the existing basement, thereby not expanding the overall depth or width of the existing building.  This project proposes a small expansion to the b",201512235842,APARTMENTS,,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/25/2014,-1,Robert Gilson,Robert Gilson,415-551-7632,KBURNS,CASE TRACKING,SUPERVISORIAL DISTRICT 5,Buena Vista,Market and Octavia,40-X,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,"(37.77225227890, -122.42513330100)"
South of Market,APN 3753076,Mixres,PL APPROVED,12/04/2013,272 CLARA ST,,2013.0669,Add two stories to existing 2 story mixuse building; change of use from R-3 to R-2,,,,3,2,0,0,1480,0,0,0,0,0,1480,0,0,0,0,0,0,0,05/28/2013,-1,Michael Jones,Michael Jones,805-878-7944,CJUNG,CASE TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Central SoMa / East SoMa (EN) / South of Market,45-X,MUR,MIXED USE-RESIDENTIAL,"(37.77831226430, -122.40411197400)"
Outer Richmond,APN 1565006A,Resident,CONSTRUCTION,01/11/2016,551 22ND AV,,2011.1438,"New Construction of 3-story, 2-unit building",201012025978,2 FAMILY DWELLING,"TO ERECT 4 STORIES, 2 UNITS RESIDENTIAL BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/02/2010,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.77732785350, -122.48163962900)"
Inner Sunset,APN 1857037,Resident,CONSTRUCTION,05/29/2015,715 KIRKHAM ST,,,,201307222456,2 FAMILY DWELLING,"TO ERECT 4 STORIES, NO BASEMENT, TWO FAMILY DWELLING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/22/2013,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 7,Inner Sunset,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.75995486030, -122.46853654800)"
Outer Richmond,APN 1505014,Resident,BP ISSUED,07/15/2015,579 39TH AV,,,,201307151829,2 FAMILY DWELLING,"ERECT 3 STORIES, 2 DWELLING UNITS.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/15/2013,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.77788047050, -122.49995220500)"
Marina,APN 0935024,Resident,BP FILED,09/06/2013,2429 CHESTNUT ST,,,,201309066225,APARTMENTS,CONVERT UNIT 2429 FROM 1 UNIT INTO 3 UNITS. NO CHANGE TO UNIT 2431.,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/06/2013,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 2,Marina,,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.79962450210, -122.44338105200)"
Outer Richmond,APN 1511005,Resident,BP FILED,12/19/2014,531 33RD AV,,,,201412194158,2 FAMILY DWELLING,"ERECT 3-STORY, TYPE 5, 2 DWELLING UNITS BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/19/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.77900343840, -122.49358733700)"
Outer Sunset,APN 2086007A,Resident,BP FILED,04/10/2009,1966 GREAT HY,,2009.0102,NEW TWO-UNIT RESIDENTIAL STRUCTURE. VARIANCE FOR FRONT SETBACK.,200904106077,,"ERECT A 4-STORIES, 2 FAMILY DWELLING UNITS BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/05/2009,-1,,,,CJAROSLA,CASE TRACKING,SUPERVISORIAL DISTRICT 4,Outer Sunset,Western Shoreline,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.74977581800, -122.50778843000)"
Mission,APN 3569052,Resident,BP FILED,02/04/2014,8 RONDEL PL,,,,201402047760,2 FAMILY DWELLING,ERECT A TWO FAMILY DWELLING RESIDENTIAL BUILDING.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/04/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,Mission,Mission (EN),45-X,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,"(37.76449129630, -122.42135077300)"
Downtown/Civic Center,APN 0792007A,Resident,BP FILED,07/07/2015,345 FULTON ST,,2015-009186PRJ,,201507070775,LENDING INSTITUTION,A REMODEL OF THE 1ST FLOOR TO INCLUDE 2 NEW STUDIO UNITS TO THE REAR. RELOCATION OF THE BOILER ROOM,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/07/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 5,Western Addition,Market and Octavia,65-X,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,"(37.77857647010, -122.42244381200)"
Presidio Heights,APN 1068003,Resident,BP ISSUED,12/11/2015,80 BLAKE ST,,,,201306149612,2 FAMILY DWELLING,ERECT NEW 4-STORY 2-FAMILY DWELLING BUILDING.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/14/2013,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 2,Richmond,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.78249894910, -122.45090981800)"
Mission,APN 6517022,Mixres,BP ISSUED,01/12/2016,2881 MISSION ST,,2014.0001,Variance request to the rear yard requirement to accomodate the change of density from two units to four over commercial use in NCT.,201212045418,APARTMENTS,IN 2ND FLOOR CONVERT EXTG RESIDENTIAL UNIT INTO 2 ONE BEDROOM UNITS. IN 3RD FLOOR MODIFY EXTG BEDROO,4,2,0,0,1484,-1010,0,0,0,0,873,-1010,391,0,220,0,0,0,12/04/2012,-1,Dianda Bros Investments,Gordon Atkinson,415 731 9927,EJACKSON,CASE TRACKING,SUPERVISORIAL DISTRICT 9,Mission,Mission (EN),80-B,NCT,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,"(37.75096691590, -122.41797625700)"
Inner Sunset,APN 1857036,Resident,CONSTRUCTION,05/29/2015,721 KIRKHAM ST,,,,201307262866,2 FAMILY DWELLING,"TO ERECT 4 STORIES, NO BASEMENT, 2 DWELLING UNITS BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/26/2013,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 7,Inner Sunset,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.75995106850, -122.46862289900)"
Noe Valley,APN 2754052,Resident,BP APPROVED,01/11/2016,162 GRAND VIEW AV,,,,201410229565,1 FAMILY DWELLING,Multiple Permits,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/22/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Central,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.75550535050, -122.44061512600)"
Inner Richmond,APN 1167010,Resident,BP FILED,11/12/2015,2740 MCALLISTER ST,,,,201511122441,APARTMENTS,RENOVATE (E) 1 UNIT RESIDENTIAL BLDG ADD UNITS FOR TOTAL OF 3 UNITS. 9 BEDROOMS & 6 BATHROOMS FOR AL,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/12/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.77567797700, -122.45719297600)"
Outer Richmond,APN 1456003,Resident,BP FILED,05/15/2014,423 24TH AV,,,,201405155866,APARTMENTS,REMODEL OF THE ENTIRE RES'D BLDG TO CONVERT A ONE UNIT RES'D BLDG INTO A THREE DWELLING UNIT RES'D B,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/15/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.78156757110, -122.48409813600)"
Bayview,APN 5386001,Resident,BP FILED,12/31/2010,2006 KEITH ST,,,,201012317718,1 FAMILY DWELLING,Multiple Permits,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/31/2010,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72869190430, -122.39030955400)"
Castro/Upper Market,APN 2659052,Resident,BP APPROVED,01/06/2016,3198 MARKET ST,,2014.0863,Variance request to the rear yard requirement of P.C. Sec. 134 to permit the construction of a new two unit residential building on a vacant property.,201407221872,,"CONSTRUCT NEW 3-STORIES, NO BASEMENT, 2-UNIT RESIDENTIAL BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/06/2014,-1,Rochmar Family LLC,Davida Rochlin Fred Marcus,310-923-1191,MBOUDREA,CASE TRACKING,SUPERVISORIAL DISTRICT 8,Central,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.75953877610, -122.44509048800)"
Potrero Hill,APN 4095018,Resident,BP ISSUED,05/28/2015,896 DE HARO ST,,2012.0978,,201204249018,2 FAMILY DWELLING,"ERECT 4 STORIES, TYPE 5, 2 DWELLING UNITS BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/24/2012,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.75835347230, -122.40125873300)"
Western Addition,APN 0818048,Resident,CONSTRUCTION,10/10/2014,447 LINDEN ST,,2010.0457,,200912304034,2 FAMILY DWELLING,"construct new 4-story, 2-unit building.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/30/2009,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 5,Western Addition,Market and Octavia,40-X,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,"(37.77596050190, -122.42532017600)"
Outer Sunset,APN 1731015,Resident,PL FILED,08/15/2014,1271 19TH AV,,2014.1256,New construction of a four-story building containing two residential units and two vehicle spaces.,201310169408,2 FAMILY DWELLING,ERECT 4-STORY TYPE 5 MULTI UNIT RESIDENTIAL.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/16/2013,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 4,Outer Sunset,,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.76410775290, -122.47755111200)"
Bayview,APN 5426031,Resident,PL FILED,04/19/2012,2075 BANCROFT AV,,2012.0516,Demo existing single family home and replace with three new single family homes.,,,,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/19/2012,0,Johanna Street,Johanna Street,415.287.4143,RSUCRE,CASE TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.73042533390, -122.40184587200)"
Marina,APN 0926008,Resident,CONSTRUCTION,12/16/2015,3305 BRODERICK ST,,2013.1355,Remove existing single family home and replace with new structure,201307303152,2 FAMILY DWELLING,"ERECT 4-STORY, TYPE 5, 2 DWELLING UNITS BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/30/2013,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 2,Marina,,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.80092159740, -122.44503177600)"
Mission,APN 3613053,Resident,PL APPROVED,06/12/2015,811 TREAT AV,,2013.1853,Conditional Use Authorization and Variance request to add two additional units for a total of 7 units on the property and a variance to the rear yard requirement for the expansion of the existing garage to create an additional parking space.,,,,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/19/2013,-1,"San Francisco Developers, LLC",Bahman Ghassemzadeh,415-922-0200,CTOWNES,CASE TRACKING,SUPERVISORIAL DISTRICT 9,Mission,Mission (EN),40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.75687211780, -122.41308330500)"
Mission,APN 4148027,Resident,BP FILED,04/17/2014,2621 HARRISON ST,,,,201404173443,APARTMENTS,"COVERT 2 STORY, 2 BEDROOM, 1 BATH RESIDENCE TO 4 STORY TRIPLEX WITH GARAGE AND LIVING SPACE AT FIRST",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/17/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,Mission,Mission (EN),40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.75537830680, -122.41184171000)"
Bayview,APN 5312014,Resident,BP FILED,02/14/2013,1750 OAKDALE AV,,,,201302140247,2 FAMILY DWELLING,"TO ERECT 4 STORIES, TWO UNIT RESIDENTIAL BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/14/2013,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.73641327810, -122.39300037600)"
Inner Richmond,APN 1432037,Resident,PL APPROVED,01/31/2013,230 02ND AV,,2012.0539,"Section 317, demolish of a single family home",,,,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/24/2012,-1,ANGELINA LIANGGARA,ANGELINA LIANGGARA,415-656-3528,GCABRERO,CASE TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.78440068590, -122.45989713700)"
Potrero Hill,APN 4160003,Resident,BP ISSUED,03/20/2015,910 CAROLINA ST,,2013.052,Demo existing house and build 2 new units,201303122050,2 FAMILY DWELLING,ERECT NEW 4-STORY 2-UNIT RESIDENTIAL BLDG,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/12/2013,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.75695891300, -122.40019066100)"
Potrero Hill,APN 4002024,Resident,BP FILED,05/07/2014,201 MISSOURI ST,,,,201405075174,2 FAMILY DWELLING,ERECT 3 STORIES OF 2 DWELLING UNIT.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/07/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.76368149530, -122.39631921500)"
Potrero Hill,APN 4071014,Resident,BP ISSUED,08/18/2015,1914 20TH ST,,2015-007570PRJ,Construct 2 dwelling units on an empty lot,201302119939,2 FAMILY DWELLING,"ERECT NEW 6 STORIES, 2 DWELLING UNITS BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/11/2013,-1,,HURLEY JAMES,,JBANALES,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.75999810280, -122.40051374900)"
Inner Sunset,APN 1265019,Resident,BP FILED,05/23/2014,1236 ARGUELLO BL,,,,201405236581,APARTMENTS,"VERTICAL & HORIZONTAL ADDITIONS TO EXISTING SINGLE FAMILY BLDG, TO CREATE 3 FAMILY BLDG. NEW WINDOW",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/23/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 5,Inner Sunset,,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.76526818930, -122.45734108100)"
South of Market,APN 3730009,Mixres,PL FILED,09/11/2012,280 07TH ST,,2012.0356,"Demolish existing one and two story buildings to construct a new three-story building. On the 7th St (east) side: bar/nightclub on the first and mezzanine levels, restaurant on the second level, and arts activity on the third level. On the Langton St (we",,,,2,2,0,0,5045,3892,0,0,0,0,355,-183,0,0,4690,4075,0,0,09/11/2012,0,Suchitra Hutachinda,Alan K. Toma,415 664-6606,CESPIRIT,CASE TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Western SoMa (EN) / South of Market,65-X,WMUG,WSOMA MIXED USE-GENERAL,"(37.77681738510, -122.40852682800)"
Bayview,APN 4909003,Resident,BP FILED,12/31/2013,1212 EGBERT AV,,,,201312315375,1 FAMILY DWELLING,Multiple Permits,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/31/2013,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72091634340, -122.38900562600)"
Bayview,APN 5319037,Resident,BP ISSUED,01/08/2016,1947 OAKDALE AV,,2013.1882,New construction on a vacant lot: 3 story two-unit structure; 2 parking garage & roof garden,201405125450,,ERECT THREE STORY TWO UNITS RESIDENTIAL BUILDING.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/13/2013,-1,Wing Lee,Wing Lee,297-6493,CESPIRIT,CASE TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.73808910660, -122.39702986200)"
Western Addition,APN 1152018,Resident,BP ISSUED,11/10/2015,1880 GOLDEN GATE AV,,,,201210041365,APARTMENTS,HORIZONTAL & VERTICAL ADDITION.  4 STORIES OVER BASEMENT. CONVERT SINGLE FAMILY DWELLING TO 3 FAMILY,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/04/2012,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 5,Western Addition,,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.77857936240, -122.44152801100)"
Inner Richmond,APN 1144020,Resident,BP FILED,03/18/2014,2506 MCALLISTER ST,,,,201403181032,2 FAMILY DWELLING,ERECT 4-STORY NEW RESIDENTIAL BUILDING.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/18/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Western Addition,,80-D,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.77593514650, -122.45327527200)"
