NEIGHBORHOOD,BLKLOT,NAMEADDR,UNITS,UNITSNET,BESTDATE,BESTSTAT,EntitlementStatus,CASENO,DESCRIPT,PLN_REVIEW,PLN_REVIEWDATE,BPAPPLNO,PROPUSE,DBIDESC,DBI_ACTION,DBI_ACTDATE,NEW_REHAB,source,TOTAL_GSF,RET,MIPS,CIE,MED,PDR,VISIT,NET_GSF,CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,FILEDATE,LANDUSE,StandardAddress,alias,Entitlement,sort,sizecat,AFFORDABLE,AFFNET,zoning_gen,ZONING_SIM,ZONINGDISTRICTNAME,HEIGHTLIMIT,SPONSOR,CONTACT,Geography
Bayview,5386001,2006 KEITH ST,2,2,12/31/2010 12:00:00 AM,BP FILED,false,,,,,201012317718,1 FAMILY DWELLING,Multiple Permits,,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,2006 Keith St,,false,BP Filed,2-9,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.7285945, -122.3901429)"
Ocean View,6942054,1325 OCEAN AV,2,1,01/08/2013 12:00:00 AM,BP FILED,false,,,,,201301087514,2 FAMILY DWELLING,EXTEND (E) GROUND & 2ND FLOOR TO THE REAR PER PLAN (REAR ADDITION). (N) 1 STORY VERTICAL ADDITION OV,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1325 Ocean Ave,,false,BP Filed,Single Family,0,0,Mixed Use,NCT,OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT,45-X,,,"(37.723695900000003, -122.456658)"
Outer Sunset,1801040,1322 47TH AV,2,1,05/07/2014 12:00:00 AM,BP ISSUED,true,,,,,201104113839,2 FAMILY DWELLING,TO COMPLETE WORK AND OBTAIN FINAL INSPECTION FOR WORK APPROVED UNDER PA#2000/11/17/5117. ADDITIONAL,ISSUED,05/07/2014,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1322 47th Ave,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.761848200000003, -122.50696739999999)"
Outer Sunset,1774006,1321 19TH AV,2,1,09/18/2014 12:00:00 AM,BP FILED,false,,,,,201409186681,2 FAMILY DWELLING,REPAIR RELOCATE (E) LAUNDRY FIXTURES TO GARAGE. CONVERT (E) LAUNDRY TO KITCHEN AND CONVERT G/F TO LE,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1321 19th Ave,,false,BP Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.763063000000002, -122.47716200000001)"
Castro/Upper Market,2652010,132 CORBETT AV,2,1,07/10/2014 12:00:00 AM,PL APPROVED,true,2014.0016,Variance request to create a second dwelling unit within the rear yard requirement.,Approved,07/10/2014,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/03/2014,Resident,132 Corbett Ave,,true,PL Approved,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,Jean Miu,Jeff Burris,"(37.761629999999997, -122.440482)"
Mission,4275001A,1318 HAMPSHIRE ST,2,1,01/12/2015 12:00:00 AM,BP APPROVED,true,,,,,201407312605,2 FAMILY DWELLING,"REMODEL INTERIOR OF (E) RESIDENTIAL BUILDING, INCLUDING KITCHENS & BATHS. ADD (1) RESIDENTIAL UNIT W",APPROVED,01/12/2015,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1318 Hampshire St,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.751035999999999, -122.40712600000001)"
Noe Valley,6553024,1267 NOE ST,2,1,08/29/2014 12:00:00 AM,BP FILED,false,,,,,201408295126,2 FAMILY DWELLING,"VERTICAL ADDITION OF NEW 3RD FL TO INCLUDE INTERIOR STAIR, 2 BEDRMS & 2 BATHRMS.(N) RAILING & FIRE W",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1267 Noe St,,false,BP Filed,Single Family,0,0,Residential,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,,,"(37.748697, -122.43124899999999)"
Outer Sunset,1729012,1259 21ST AV,2,1,03/27/2015 12:00:00 AM,CONSTRUCTION,true,,,,,201304295719,2 FAMILY DWELLING,SITE PERMIT/REAR HORIZONTAL ADDITION.,OK TO POUR,03/27/2015,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1259 21st Ave,,true,Construction,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.764217000000002, -122.479648)"
Excelsior,5918001,1248 SILVER AV,2,1,10/10/2014 12:00:00 AM,BP REINSTATED,false,,,,,201410068221,2 FAMILY DWELLING,BUILD 2ND RESIDENTIAL UNIT. GROUND LEVEL TO ADD 1-MORE PARKING SPACE & HALF BATH. 2ND LEVEL TO BUILD,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1248 Silver Ave,,false,BP Reinstated,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.730336000000001, -122.41143700000001)"
Parkside,2394046,2115 TARAVAL ST,2,2,12/31/2012 12:00:00 AM,BP ISSUED,true,2008.0794,"Existing 2,150 sqft, 22'-0"" two-unit residence with ground floor commercial. Proposed 5,000 sqft, 50'-0"" two-unit residence with office and commercial space.",Approved,06/17/2010,201007146550,2 FAMILY DWELLING,"TO ERECT 4 STORIES, 2 UNITS, MIXED USE BUILDING.",ISSUED,12/31/2012,N,CASE TRACKING,2000,1000,1000,0,0,0,0,1000,0,0,1000,0,0,0,06/17/2009,Mixres,2115 Taraval St,,true,BP Approved/Issued/Re-Instated,2-9,0,0,Mixed Use,NCD,TARAVAL STREET NEIGHBORHOOD COMMERCIAL DISTRICT,50-X,Kevin Ma,Kevin Ma,"(37.742221999999998, -122.488893)"
Ocean View,7106059,202 BROAD ST,2,2,08/20/2014 12:00:00 AM,BP ISSUED,true,,,,,200910209343,2 FAMILY DWELLING,,ISSUED,08/20/2014,,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/20/2009,Resident,202 Broad St,,true,BP Approved/Issued/Re-Instated,2-9,0,0,Mixed Use,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",40-X,,,"(37.713375900000003, -122.459288)"
Excelsior,6022014,395 ATHENS ST,2,2,06/11/2014 12:00:00 AM,CONSTRUCTION,true,2006.0401,,Approved,05/21/2009,200312243005,2 FAMILY DWELLING,ERECT A FOUR STORY TWO UNIT RESIDENTIAL BLDG,SHEAR WALL,06/11/2014,,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/13/2006,Resident,395 Athens St,,true,Construction,2-9,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.721789000000001, -122.428118)"
South of Market,3730009,280 07TH ST,2,2,09/11/2012 12:00:00 AM,PL FILED,false,2012.0356,"Demolish existing one and two story buildings to construct a new three-story building. On the 7th St (east) side: bar/nightclub on the first and mezzanine levels, restaurant on the second level, and arts activity on the third level. On the Langton St (we",,,,,,,,R,CASE TRACKING,5045,4690,355,0,0,0,0,3892,0,0,-183,0,4075,0,09/11/2012,Mixres,280 07th St,,false,Planning Filed,2-9,0,0,Mixed Use,WMUG,WSOMA MIXED USE-GENERAL,65-X,Suchitra Hutachinda,Alan K. Toma,"(37.776817000000001, -122.40852700000001)"
Ocean View,6940012,231 JULES AV,2,1,10/30/2014 12:00:00 AM,BP FILED,false,,,,,201410300350,2 FAMILY DWELLING,"REVISION TO PA 201403060090, LEGALIZED 2ND UNIT PER PLAN.",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,231 Jules Ave,,false,BP Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.722430215700001, -122.461561772)"
Castro/Upper Market,2700012,4546 19TH ST,2,1,11/14/2014 12:00:00 AM,CONSTRUCTION,true,2012.0818,"Remodel with horizontal and vertical additions; mold abatement and add one dwelling unit.
Discretionary Review request per P.C. Sec. 317.",Approved,02/13/2014,201206253387,2 FAMILY DWELLING,HORIZONTAL & VERTICAL ADDITIONS. ADD 2ND UNIT. ADD ROOF DECK. RENOVATION AND STRUCTURAL UPGRADE.,REINFORCING STE,11/14/2014,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/25/2013,Resident,4546 19th St,,true,Construction,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.759228, -122.440055)"
Inner Richmond,1533017,473 11TH AV,2,1,05/28/2009 12:00:00 AM,BP FILED,false,,,,,200905289263,2 FAMILY DWELLING,"THREE STORY HORIZONTAL ADDITION AT REAR OF BUILDING, AND CHANGE FROM SINGLE FAMILY DWELLING TO TWO F",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,473 11th Ave,,false,BP Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.779254999999999, -122.46985100000001)"
Visitacion Valley,6244036,469 RAYMOND AV,2,1,02/29/2012 12:00:00 AM,BP REINSTATED,true,2009.0756,Demolish 1-story single-family residential building straddled in the middle of two lots and construct two single-family residential buildings on each lot.,,,200703025289,1 FAMILY DWELLING,"ERECT 3 STORIES, 1 BASEMENT, 1 DWELLING UNIT BLDG.",REINSTATED,02/29/2012,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/14/2009,Resident,469 Raymond Ave,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.714637000000003, -122.412886)"
Ocean View,6994039,466 VERNON ST,2,1,07/17/2014 12:00:00 AM,BP FILED,false,,,,,201407171522,2 FAMILY DWELLING,(UNIT LEGALIZATION ORD 43-14 )CONVERT (E) STORAGE SPACE IN APP #200012047067 TO A NEW KITCHEN & INST,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,466 Vernon St,,false,BP Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.720742999999999, -122.46785)"
Outer Sunset,1806019A,1474 48TH AV,2,1,03/12/2015 12:00:00 AM,BP ISSUED,true,2014.1044,REAR HORIZONTAL ADDITON OF TWO STORY BUILDING. PROVIDE ADDITIONAL DWELLING UNIT AT GROUND FLOOR.,,,201309126610,2 FAMILY DWELLING,REAR HORIZONTAL ADDITON OF TWO STORY BUILDING. PROVIDE ADDITIONAL DWELLING UNIT AT GROUND FLOOR.,ISSUED,03/12/2015,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/07/2014,Resident,1474 48th Ave,,true,BP Approved/Issued/Re-Instated,Single Family,2,1,Residential,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,,,"(37.758695000000003, -122.507732)"
Castro/Upper Market,2701A019,4621 19TH ST,2,1,04/14/2014 12:00:00 AM,PL FILED,false,2014.0543,"RENOVATION OF AN (E) SINGLE FAMILY RESIDENCE INCLUDING REAR & VERTICAL ADDITIONS, CONSTRUCTION OF SECOND UNIT OF REAR ADDITION, ASSOCIATED STRUCTURAL, MECHANICAL, ELECTRICAL, PLUMBING,LANDSCAPING.",,,,2 FAMILY DWELLING,,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/14/2014,Resident,4621 19th St,,false,Planning Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.758929999999999, -122.440549)"
Noe Valley,2807040,429 GRAND VIEW AV,2,1,10/16/2014 12:00:00 AM,PL APPROVED,true,2013.1528,"Adding a 2nd dwelling unit to the site
Variance request to the rear yard requirement of P.C. Sec. 134",Approved,10/16/2014,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/06/2013,Resident,429 Grand View Ave,,true,PL Approved,Single Family,0,0,Residential,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,Angela  Matt,Angela  Matt,"(37.752144000000001, -122.442239)"
Noe Valley,6580018,456 27TH STREET,2,1,02/04/2015 12:00:00 AM,BP REINSTATED,true,2014.0671,"To construct a new three-story, two-family dwelling in an RH-2 Zoning District and a 40-X Height and Bulk District.",,,201303111903,2 FAMILY DWELLING,"ERECT 3-STORY, 2-UNIT RESIDENTIAL, TYPE V NEW BUILDING.",REINSTATED,02/04/2015,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/02/2014,Resident,456 27th St,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,Robert Edmonds,Robert Edmonds,"(37.746929999999999, -122.430509)"
Mission,3610032,500 CAPP ST,2,1,04/01/2015 12:00:00 AM,CONSTRUCTION,true,2009.0757,Preservation and resotration of the exterior of the existing home. Excavate basement into full basement use and construct second unit at the rear of the lot.,,,201007015845,OFFICE,,REINFORCING STE,04/01/2015,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/11/2010,Resident,500 Capp St,,true,Construction,Single Family,0,0,Residential,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,55-X,Dean Orr,Dean Orr,"(37.758561999999998, -122.41818600000001)"
Outer Richmond,1464014,446 33RD AV,2,1,12/04/2014 12:00:00 AM,CONSTRUCTION,true,,,,,200911231869,2 FAMILY DWELLING,VERTICAL & HORIZONTAL ADDITION WITH ADD A 3RD FLOOR WITH FRONT SETBACK & SIDE SETBACKS. ADD UNIT 2 W,SHEETROCK NAILI,12/04/2014,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,446 33rd Ave,,true,Construction,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.780737999999999, -122.493054)"
Western Addition,0867033,445 WALLER ST,2,1,08/03/2009 12:00:00 AM,BP FILED,false,,,,,200908034026,2 FAMILY DWELLING,To comply w/ NOV 2008.85761 of 1.7.09. to legalize (e) 2nd unit on thre ground/garage fl. Replace ou,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,445 Waller St,,false,BP Filed,Single Family,0,0,Residential,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,40-X,,,"(37.770820000000001, -122.430988)"
Noe Valley,6620014,440 29TH ST,2,1,04/01/2014 12:00:00 AM,CONSTRUCTION,true,2007.0731,Demolish existing single-family house (built before 1900) and construct new two-unit dwelling.,Approved,,200609152421,2 FAMILY DWELLING,ERECT 3 STORIES 2 DWELLING UNITS BLDG.,OK TO COVER,04/01/2014,,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/31/2006,Resident,440 29th St,,true,Construction,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,Stephen Antonaros,Stephen Antonaros,"(37.743644000000003, -122.429833)"
Noe Valley,6540021,4372 25TH ST,2,1,08/04/2014 12:00:00 AM,CONSTRUCTION,true,2012.0396,,,,201112120494,2 FAMILY DWELLING,RENOVATE (E) 2-STORY SF RESIDENCE TO INCL A HORIZONTAL & VERTICAL ADDITION AND (N) 2ND UNIT INCL DEM,NO ENTRY/NO PRO,08/04/2014,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,4372 25th St,,true,Construction,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.749709000000003, -122.43773899999999)"
Outer Sunset,1706045,4335 LINCOLN WY,2,1,05/06/2011 12:00:00 AM,PL FILED,false,2011.0470,Vertical and horizontal addition to existing SFD to be converted to 2-unit building.,,,201008279734,2 FAMILY DWELLING,COMPLY WITH NOV# 200678848 / O.A# 102906A. LEGALIZE FRONT & REAR HORIZONTAL ADDITION & CONVERT (E) G,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/06/2011,Resident,4335 Lincoln Way,,false,Planning Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.763970999999998, -122.504653)"
Noe Valley,6501010,60 FOUNTAIN ST,2,1,06/16/2009 12:00:00 AM,BP FILED,false,2009.0446,Rear yard variance for the construction of a  new single-family building at rear of site.,CEQA,,200906160568,1 FAMILY DWELLING,"NEW HOUSE @ LOCATION OF EXISTING HOUSE, HOUSE IS 2001 SQ FT. AT REAR, NO WORK TO FRONT UNIT, REBUILD",,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/28/2009,Resident,60 Fountain St,,false,BP Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,Alan Martinez,Alan Martinez,"(37.749907999999998, -122.441906)"
Mission,4212011,1115 POTRERO AV,2,1,03/05/2012 12:00:00 AM,BP APPROVED,true,,,,,201109215213,2 FAMILY DWELLING,"CONVERT BASEMENT TO LEGAL DWELLING UNIT INCLUDING KITCHEN, LIVING ROOM, 1 BEDROOM, 1 FULL BATH & LAU",APPROVED,03/05/2012,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1115 Potrero Ave,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",55-X,,,"(37.754035999999999, -122.406083)"
Outer Richmond,1505027,536 40TH AV,2,1,02/04/2014 12:00:00 AM,CONSTRUCTION,true,2008.0271,"2007.0179: The proposal would demolish an existing single-family building constructed in 1906, and construct a new two-unit residential building.
2008.0271: new 4 story, 2 unit building",Approved,05/29/2008,200608179803,2 FAMILY DWELLING,TO ERECT 2 DWELLING UNIT WITH 3 STORY NEW BUILDING,SITE VERIFICATI,02/04/2014,,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/06/2008,Resident,536 40th Ave,,true,Construction,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.778616, -122.500423)"
Parkside,2381027A,2474 45TH AV,2,1,03/09/2015 12:00:00 AM,BP APPROVED,true,,,,,201408284948,2 FAMILY DWELLING,"ONE UNIT LEGALIZATION PER ORDINANCE 43-14. TWO BEDROOM, ONE BATHROOM, ONE FAMILY PER PA #20121113407",APPROVED,03/09/2015,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,2474 45th Ave,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.740195999999997, -122.50330700000001)"
Outer Richmond,1564013,571 21ST AV,2,1,05/29/2013 12:00:00 AM,BP FILED,true,2012.0482,"Add an vertical addition, convert existing attic to new 3rd story",APPR/WC,02/13/2013,201305298089,2 FAMILY DWELLING,VERTICAL ADDITION. (N) 3RD FLOOR-CONVERT SINGLE FAMILY HOUSE INTO 2 UNITS. 3RD FL CONSIST OF 3 BEDRO,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/10/2012,Resident,571 21st Ave,,true,BP Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,Tony Lee,Tony Lee,"(37.777102900000003, -122.480546)"
Glen Park,6727016,564 CHENERY ST,2,1,04/02/2008 12:00:00 AM,BP FILED,true,2009.0069,3-story fron addition to existing 2-story residnetial house.,Appr/CEQA,07/22/2009,200804028581,2 FAMILY DWELLING,3RD STORY NEW ADDITION TO BE CONSTRUCTED & ATTACHED TO THE FRONT OF (E) BLDG.,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/27/2009,Resident,564 Chenery St,,true,BP Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.734904, -122.431482)"
Outer Richmond,1510013,563 34TH AV,2,1,07/01/2010 12:00:00 AM,BP ISSUED,true,2009.0366,Addition of 1 unit and square footage to existing single-family residence.,CEQA,,200810295438,2 FAMILY DWELLING,"HORIZONTAL & VERTICAL ADDITION FROM SINGLE FAMILY DWELLING TO TWO UNITS RESIDENTICAL, TWO STORY TO F",ISSUED,07/01/2010,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/11/2009,Resident,563 34th Ave,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.778405900000003, -122.494618)"
Bayview,5410008,56 LUCY ST,2,1,01/14/2015 12:00:00 AM,CONSTRUCTION,true,,,,,201308235132,2 FAMILY DWELLING,"NEW ENTRY DOOR, HALLWAY & KITCHEN TO CREATE 2ND DWELLING UNIT ON LEVEL 1 WITHIN EXISTING FOOTPRINT.",SHEETROCK NAILI,01/14/2015,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,56 Lucy St,,true,Construction,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.729942000000001, -122.393494)"
Ocean View,6992012,547 VICTORIA ST,2,1,07/17/2014 12:00:00 AM,BP FILED,false,,,,,201407171519,2 FAMILY DWELLING,"UNIT LEGALIZATION ORDINANCE# 4314. LEGALIZE GROUND FLOOR UNIT TO INCLUDE 2 BEDROOMS, 1 FULL BATH, 1",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,547 Victoria St,,false,BP Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.720422999999997, -122.46513)"
Inner Richmond,1534026,474 11TH AV,2,1,03/10/2008 12:00:00 AM,BP FILED,true,2008.1151,Horizontal and Vertical (2 stories) addition and creation of a second unit.,Approved,12/01/2008,200803106731,2 FAMILY DWELLING,CONVERT SINGLE FAMILY DWELLING TO 2 UNITS BY HORIZONTAL EXTENSION IN FRONT AND REAR AND 2 FLOOR VERT,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/30/2008,Resident,474 11th Ave,,true,BP Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.779353, -122.469202)"
Excelsior,5949008,54 NAPLES ST,2,1,03/26/2015 12:00:00 AM,BP ISSUED,true,,,,,201407252175,2 FAMILY DWELLING,UNIT LEGALIZATION PER ORDINANCE 43-14. COMPLY WITH NOV 201467981. REBUILD IN KIND REAR DECK WITH PRE,ISSUED,03/26/2015,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,54 Naples St,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.727663999999997, -122.425932)"
Excelsior,6272018,4847 MISSION ST,2,1,02/25/2009 12:00:00 AM,CONSTRUCTION,true,2007.1171,,,,200801112324,2 FAMILY DWELLING,Revision to PA# 2001/05/30/0305 to convert 2nd floor family rm. to kitchen and create a new unit. Re,FORMS,02/25/2009,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,4847 Mission St,,true,Construction,Single Family,0,0,Mixed Use,NCD,EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT,40-X,,,"(37.720737999999997, -122.437618)"
Castro/Upper Market,2623074,53 STATES ST,2,1,01/31/2014 12:00:00 AM,PL FILED,false,2014.0177,Mandatory Discretionary Review for the Demo/Reconstruction of a Single Family Dwelling to a Two Unit Building with parking.,,,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/31/2014,Resident,53 States St,,false,Planning Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,Marvin & Elisabeth Tien,Jill Allen,"(37.763449000000001, -122.43598)"
Presidio Heights,1043009,53 MANZANITA AV,2,1,08/21/2014 12:00:00 AM,BP ISSUED,true,2013.1598,,,,201305096539,2 FAMILY DWELLING,THIS WORK WILL RESULT IN CREATION OF A NEW UNIT. CONSTRUCT NEW KITCHEN. CONSTRUCT 2 WOOD STUD-FRAMED,ISSUED,08/21/2014,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,53 Manzanita Ave,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.785003000000003, -122.45135500000001)"
Mission,4013007,526 UTAH ST,2,1,11/19/2013 12:00:00 AM,BP ISSUED,true,,,,,201205220992,2 FAMILY DWELLING,"REAR YARD ADDITION, DORMER ADDITION W/ BATH & CLOSET FLOOR 3. EXTERIOR STAIRCASE FROM FLOOR 3 TO REAR YARD. NEW KITCHEN, BATH, DECK FLOOR 2. (N) 2ND UNIT ON BOTTOM 2 FLOORS W/ KITCHEN, 2 BATHS, & 2 BEDROOMS.",ISSUED,11/19/2013,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,526 Utah St,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.762681999999998, -122.40656300000001)"
Inner Richmond,1550045,522 08TH AV,2,1,03/12/2015 12:00:00 AM,BP ISSUED,true,,,,,201310310802,2 FAMILY DWELLING,VERTICAL & HORIZONTAL REAR ADDITION OF (E) BUILDING. CONVERT SINGLE FAMILY DWELLING TO 2 UNITS BUILD,ISSUED,03/12/2015,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,522 08th Ave,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.778525000000002, -122.46606)"
Outer Mission,6968008,5000 MISSION ST,2,1,07/30/2013 12:00:00 AM,BP FILED,true,2013.0555,"Variance request to open space, exposure, and parking requirements for a change of use from retail to mixed use retail/residential.",Approved,10/27/2014,201307303164,2 FAMILY DWELLING,CONVERSION OF (E) SINGLE RESIDENTIAL UNIT ABOVE (E) COMMERICAL TO 2 RESIDENTIAL UNITS ABOVE (E) COMM,,,N,CASE TRACKING,1937,1937,0,0,0,0,0,0,0,0,0,0,0,0,05/03/2013,Mixres,5000 Mission St,,true,BP Filed,Single Family,0,0,Mixed Use,NCD,EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT,40-X,Kuan W Chow Kent Chow,Brett Gladstone,"(37.718544999999999, -122.43978199999999)"
